股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,关注者
SH171300,20海南12,100,0,0,None,None,None,None,0
SH171350,20北京20,100,0,0,None,None,None,None,0
SH171331,20厦门08,100,0,0,None,None,None,None,0
SH171327,20宁夏10,100,0,0,None,None,None,None,0
SH171507,20广西29,100,0,0,None,None,None,None,0
SH171453,20陕西47,100,0,0,None,None,None,None,0
SH171452,20宁夏13,100,0,0,None,None,None,None,0
SH171449,20西藏10,100,0,0,None,None,None,None,0
SH171443,20湖南46,100,0,0,None,None,None,None,1
SH171444,20西藏05,100,0,0,None,None,None,None,0
SH171491,20山东44,100,0,0,None,None,None,None,0
SH171488,20安徽21,100,0,0,None,None,None,None,0
SH171159,20广东60,100,0,0,None,None,None,None,0
SH171149,20广东50,100,0,0,None,None,None,None,0
SH171116,20内蒙08,100,0,0,None,None,None,None,0
SH171182,20深圳31,100,0,0,None,None,None,None,0
SH171164,20内蒙15,100,0,0,None,None,None,None,0
SH171162,20广东63,100,0,0,None,None,None,None,0
SH171130,20湖北24,100,0,0,None,None,None,None,2
SH171440,20湖北38,100,0,0,None,None,None,None,1
SH171437,20湖北35,100,0,0,None,None,None,None,1
SH171496,20湖北51,100,0,0,None,None,None,None,0
SH171489,20山东42,100,0,0,None,None,None,None,0
SH171479,20贵州39,100,0,0,None,None,None,None,0
SH171034,20海南08,100,0,0,None,None,None,None,1
SH171023,20湖南21,100,0,0,None,None,None,None,2
SH171017,20四川67,100,0,0,None,None,None,None,0
SH171016,20四川66,100,0,0,None,None,None,None,0
SH171009,20陕西12,100,0,0,None,None,None,None,0
SH171005,20河南19,100,0,0,None,None,None,None,2
SH171075,20江苏07,100,0,0,None,None,None,None,0
SH171074,20江苏06,100,0,0,None,None,None,None,0
SH171070,20宁夏03,100,0,0,None,None,None,None,0
SH171069,20宁夏02,100,0,0,None,None,None,None,0
SH171067,20甘肃08,100,0,0,None,None,None,None,0
SH171056,20湖北18,100,0,0,None,None,None,None,2
SH171046,20河北19,100,0,0,None,None,None,None,0
SH171421,20浙江21,100,0,0,None,None,None,None,0
SH171412,20安徽19,100,0,0,None,None,None,None,0
SH171407,20安徽14,100,0,0,None,None,None,None,0
SH171408,20安徽15,100,0,0,None,None,None,None,0
SH171478,20贵州38,100,0,0,None,None,None,None,0
SH171464,20龙江27,100,0,0,None,None,None,None,0
SH171506,20湖南49,100,0,0,None,None,None,None,0
SH171415,20浙江15,100,0,0,None,None,None,None,0
SH171378,20陕西19,100,0,0,None,None,None,None,0
SH171364,20福建21,100,0,0,None,None,None,None,0
SH171494,20湖北49,100,0,0,None,None,None,None,0
SH171484,20天津57,100,0,0,None,None,None,None,0
SH171349,20北京19,100,0,0,None,None,None,None,0
SH171325,20山东41,100,0,0,None,None,None,None,0
SH171216,20山西11,100,0,0,None,None,None,None,0
SH171207,20深圳56,100,0,0,None,None,None,None,0
SH171107,20青海13,100,0,0,None,None,None,None,1
SH171156,20广东57,100,0,0,None,None,None,None,2
SH171121,20内蒙13,100,0,0,None,None,None,None,0
SH171194,20深圳43,100,0,0,None,None,None,None,0
SH171080,20重庆04,100,0,0,None,None,None,None,0
SH171368,20福建25,100,0,0,None,None,None,None,0
SH171326,20宁夏09,100,0,0,None,None,None,None,0
SH171351,20江苏12,100,0,0,None,None,None,None,0
SH171306,20海南18,100,0,0,None,None,None,None,0
SH171176,20山东29,100,0,0,None,None,None,None,0
SH171128,20河北21,100,0,0,None,None,None,None,0
SH171490,20山东43,100,0,0,None,None,None,None,0
SH171411,20安徽18,100,0,0,None,None,None,None,0
SH171233,20广西24,100,0,0,None,None,None,None,0
SH171235,20广西26,100,0,0,None,None,None,None,0
SH171226,20吉林22,100,0,0,None,None,None,None,None
SH171280,20湖北31,100,0,0,None,None,None,None,None
SZ002072,ST凯瑞,4.64,0,-20.27,0.64,28.775,0,816640000,21486
SZ000029,深深房A,10.81,0,0,0,34.545,1.526,10936044600,22451
SZ200056,皇庭B,1.5,0,-30.88,0.07,None,0,1761793080,2059
SZ000595,*ST宝实,2.29,0,-28.21,0.49,None,0,1750199483,14390
SH600917,重庆燃气,7.5,0,4.52,0.24,32.172,1.133,11670000000,13656
SZ000709,河钢股份,2.13,0,-17.44,0.16,10.853,0,22617634725,113436
SH601588,北辰实业,2.55,0,-18.12,0.2,15.705,5.882,8585901000,26373
SH600243,*ST海华,2.7,0,-38.5,0.1,None,0,1184895000,7969
SH600317,营口港,2.61,0,4.2,0.1,15.981,1.839,16894485638,27594
SZ002110,三钢闽光,6.57,0,-27.2,0.27,7.036,3.805,16106855884,43148
SZ300296,利亚德,7.63,0,0.51,2.06,50.736,0.786,19402337186,75400
SZ300288,朗玛信息,15.37,0,26.31,6.57,137.225,0.137,5194159349,29639
SH601608,中信重工,3.7,0,-0.37,0.19,84.216,0.192,16055851384,42588
SZ000709,河钢股份,2.13,0,-17.44,0.16,10.853,0,22617634725,113436
SH601882,海天精工,13.2,0,83.09,0.6,72.488,0.341,6890400000,8728
SH600698,ST天雁,2.34,0,-19.86,0.27,203.825,0,2490719475,21500
SH601106,中国一重,2.92,0,0.34,0.16,150.029,0,20024726147,186378
SH600759,洲际油气,1.95,0,-29.6,0.33,None,0,4413839660,20772
SH600711,盛屯矿业,5.77,0,9.87,0.92,44.617,0.726,13354456634,52765
SZ000557,西部创业,3.37,0,-2.32,0.25,93.956,0,4914722857,16893
SH600058,五矿发展,6.7,0,-16.46,0.18,30.972,0,7181801764,27229
SZ000903,云内动力,6.61,0,160.62,1.34,60.585,0.454,13026993665,19903
SZ002535,*ST林重,1.54,0,-44.4,0.86,None,0,1234591934,18091
SH601019,山东出版,6.17,0,-6.61,0.36,10.434,5.186,12876173000,4443
SH600652,ST游久,2.03,0,-12.5,0.39,99.482,0,1690388101,38245
SH600651,*ST飞乐,3.66,0,-17.19,0.19,None,0,9175722535,17419
SH600469,风神股份,4.81,0,-1.18,0.33,18.038,1.04,2705207598,10243
SH600687,*ST刚泰,1.14,0,-34.48,0.45,None,0,1697135447,18582
SH600115,东方航空,4.97,0,-13.5,0.26,None,1.006,81406160739,129194
SZ002310,东方园林,4.73,0,-5.78,0.35,16.755,0,12702235279,88993
SH601933,永辉超市,7.97,0,7.15,0.33,37.035,1.64,75844796296,255633
SZ300618,寒锐钴业,67.48,-0.01,-18.08,2.76,134.16,0.014,20441205711,50529
SZ300679,电连技术,41.64,-0.02,10.03,2.61,69.677,0.432,11692512000,11292
SZ300860,锋尚文化,148.9,-0.03,7.88,6.86,38.076,0,10731827087,3347
SZ300808,久量股份,22.34,-0.04,-8.21,21.69,58.524,0.304,3574400000,2129
SZ002595,豪迈科技,24.39,-0.04,30.8,0.67,19.501,1.538,19512000000,34923
SZ002389,航天彩虹,23.1,-0.04,108.42,3.5,97.281,0.13,21854048024,47388
SH601698,中国卫通,18.98,-0.05,67.77,1.18,176.948,0.063,75920000000,29644
SZ002028,思源电气,22.18,-0.05,61.96,1.67,17.271,0.449,16923183010,33591
SZ300286,安科瑞,15.29,-0.07,34.73,1.05,26.178,1.309,3286426866,9571
SZ200581,苏威孚B,13.59,-0.07,10.82,0.09,5.055,8.799,13711638246,6996
SH688006,杭可科技,57.87,-0.07,46.37,1.25,75.07,None,23205870000,5096
SH603458,勘设股份,15.13,-0.07,6.35,1.04,8.105,3.559,3656282741,7529
SH600352,浙江龙盛,14.36,-0.07,0.98,0.76,9.813,1.741,46717845510,236229
SH600182,S佳通,13.79,-0.07,-14.52,0.44,68.874,0.573,4688600000,36458
SH600167,联美控股,13.65,-0.07,5.28,0.11,18.214,1.538,31232830834,15705
SZ300807,天迈科技,45.97,-0.07,-14.28,26.84,56.459,1.523,3119110470,2885
SH600062,华润双鹤,12.69,-0.08,-0.55,0.33,13.635,2.396,13238686540,44226
SZ002674,兴业科技,12.6,-0.08,21.53,1.12,72.42,4.929,3677473094,4982
SZ002782,可立克,13.25,-0.08,26.01,0.85,46.164,0.686,6210728508,86471
SH688377,迪威尔,24.94,-0.08,51.89,0.83,43.904,None,4854994980,703
SZ000504,ST生物,12.44,-0.08,53.96,0.17,124.869,0,3875979328,16130
SH688299,长阳科技,24.94,-0.08,45.26,1.76,43.212,None,7047260310,6490
SZ002156,通富微电,24.2,-0.08,47.11,1.33,134.083,0,27919650642,82936
SH600585,海螺水泥,53.2,-0.08,0.67,0.44,8.195,3.759,281922897203,319557
SZ002855,捷荣技术,11.73,-0.09,-10.38,1.04,82.159,0.426,2943582058,3916
SH603331,百达精工,10.71,-0.09,-6.98,0.49,39.12,1.574,1916574849,2369
SZ300493,润欣科技,9.61,-0.1,10.45,4.6,131.717,0.208,4584632725,56158
SH603995,甬金股份,30.93,-0.1,17.42,6.12,20.21,2.263,7134623100,3454
SZ300124,汇川技术,62.18,-0.1,103.67,0.69,80.53,0.289,106932403499,83529
SZ300698,万马科技,19.17,-0.1,17.9,6.16,None,0,2568780000,10657
SZ000666,经纬纺机,9.09,-0.11,-18.97,0.7,20.825,0.33,6400541700,18481
SH601211,国泰君安,18.33,-0.11,1.26,0.27,18.002,2.128,163291848027,80332
SH600343,航天动力,9.45,-0.11,3.28,0.44,None,0,6031049989,76167
SZ000881,中广核技,9.48,-0.11,38.39,0.5,35.226,0.232,8962636726,13205
SH601900,南方传媒,8.7,-0.11,-3.47,0.13,14.431,2.874,7794126124,9203
SZ300613,富瀚微,133.19,-0.11,47.97,0.76,120.257,0.077,10655285242,19758
SH600171,上海贝岭,16.08,-0.12,2.76,0.47,62.563,0.684,11322275553,48665
SZ300839,博汇股份,34.42,-0.12,113.69,20.37,44.098,0.872,3579680000,1444
SH600505,西昌电力,7.76,-0.13,-18.4,0.28,444.026,0.399,2829043800,7581
SH600483,福能股份,7.76,-0.13,-12.73,0.19,12.085,2.84,13660524030,12649
SZ000736,中交地产,7.4,-0.13,36.88,0.57,8.96,1.143,5146209299,17872
SH600697,欧亚集团,15.66,-0.13,-9.75,0.33,21.41,2.554,2491319255,17407
SZ300446,ST乐凯,7.85,-0.13,-50.27,3.42,218.007,0.29,1590567000,17440
SZ002795,永和智控,15.5,-0.13,11.27,1.04,59.964,0,3100000000,38664
SZ300364,中文在线,7.38,-0.14,79.56,3.59,None,0,5367439388,34337
SZ002522,浙江众成,6.96,-0.14,14.66,1.6,73.523,1.006,6304224534,16129
SZ300095,华伍股份,13.8,-0.14,132.79,3.96,40.072,0.145,5226209785,17700
SH600168,武汉控股,7.08,-0.14,7.35,0.18,23.302,1.497,5023753419,11476
SH603926,铁流股份,13.18,-0.15,13.04,0.56,17.334,2.276,2111799768,2337
SH603817,海峡环保,6.48,-0.15,-3,0.52,21.732,0.895,2916034305,4401
SZ000601,韶能股份,6.71,-0.15,25.53,0.38,24.021,3.726,7250501699,20806
SH688335,复洁环保,46.74,-0.15,1.13,3.01,44.173,None,3389655284,781
SZ002033,丽江股份,6.39,-0.16,4.33,0.36,43.179,1.878,3511245643,52324
SZ002300,太阳电缆,6.2,-0.16,4.34,0.44,20.637,1.76,4071335400,13896
SH600126,杭钢股份,6.04,-0.17,23.52,0.4,33.944,1.987,20398222061,36618
SZ300067,安诺其,5.82,-0.17,38.3,6.89,44.679,1.372,5423944763,16497
SH600232,金鹰股份,5.74,-0.17,-7.7,0.33,66.27,3.484,2093484443,12249
SH603696,安记食品,11.9,-0.17,44.35,1.3,73.038,2.521,2798880000,19289
SH601958,金钼股份,5.93,-0.17,-22.35,0.1,45.227,5.059,19133764092,21517
SH600901,江苏租赁,5.78,-0.17,-4.32,0.49,9.936,4.152,17262836815,12194
SH600455,博通股份,24.16,-0.17,-31.29,1.39,73.108,0,1508985280,14737
SH600094,大名城,5.71,-0.17,-1.91,0.65,18.344,0.525,14134106075,15912
SH600080,ST金花,5.84,-0.17,-2.6,0.52,133.67,0.514,2179898464,12568
SZ300025,华星创业,5.78,-0.17,12.45,10.54,None,0,2476906648,20348
SH600825,新华传媒,5.99,-0.17,4.66,0.28,548.051,0.117,6258878222,50815
SZ002492,恒基达鑫,5.8,-0.17,-0.81,1.51,28.801,0.69,2349000000,20844
SZ002679,福建金森,11.36,-0.18,-29.4,0.74,None,0.176,2678188160,10222
SZ000600,建投能源,5.42,-0.18,13.71,0.64,12.911,2.214,9710614958,22943
SZ002912,中新赛克,76.99,-0.18,-1.83,3.43,45.257,0.528,13432525370,21948
SZ000559,万向钱潮,5.64,-0.18,6.32,0.18,46.062,0.887,18633383180,257496
SZ000639,西王食品,5.64,-0.18,24.5,0.55,None,0,6087974456,37030
SZ002088,鲁阳节能,10.43,-0.19,4.25,3.35,13.22,6.232,3772552204,12815
SZ000401,冀东水泥,15.67,-0.19,-5.27,0.62,9.17,3.191,21115684062,80107
SZ002958,青农商行,5.18,-0.19,-17.22,1.5,9.948,2.896,28777777780,14252
SZ000652,泰达股份,5.16,-0.19,38.06,0.94,22.396,0.775,7613961076,59299
SZ000933,神火股份,5.31,-0.19,-0.71,1.18,None,1.883,10091655000,37942
SZ002466,天齐锂业,21.17,-0.19,-29.85,2.99,None,0,31270193938,269784
SH603059,倍加洁,31.66,-0.19,13.13,3.15,30.455,0.632,3166000000,5640
SH603188,ST亚邦,5.34,-0.19,-18.84,0.08,None,0,3075840000,18699
SZ002284,亚太股份,5.29,-0.19,4.13,1.35,None,0,3902020687,36510
SH601801,皖新传媒,5.32,-0.19,-0.32,0.18,17.972,3.008,10582569201,28632
SH603225,新凤鸣,10.62,-0.19,-12.89,0.19,15.31,1.227,14826605640,11094
SH600712,南宁百货,5.35,-0.19,-44.7,1.11,None,0.056,2913906176,24928
SH603716,塞力斯,15.84,-0.19,-5.73,0.93,52.5,0.505,3249476351,6297
SZ002478,常宝股份,5.08,-0.2,-12.06,0.44,9.922,2.559,4876763825,9262
SZ000678,襄阳轴承,5.02,-0.2,-27.67,0.41,None,0,2307251221,16821
SH900943,开开B股,0.496,-0.2,2.27,0.03,55.823,0.796,120528000,674
SH601727,上海电气,5.11,-0.2,2.61,0.12,24.38,0,77445329767,168112
SZ000498,山东路桥,5.1,-0.2,10.77,0.38,8.214,1.301,6888945549,16109
SH600348,阳泉煤业,4.98,-0.2,-4.03,0.54,8.815,5.622,11976900000,24385
SH600800,天津磁卡,4.67,-0.21,-15.7,0.45,None,0,4681237262,19146
SH603323,苏农银行,4.8,-0.21,-6.13,2.05,9.345,3.125,8654730216,8019
SZ000899,赣能股份,4.48,-0.22,-5.82,0.15,19.94,2.232,4371036365,9165
SZ002860,星帅尔,13.88,-0.22,2.84,0.84,20.664,0.89,2764156973,5896
SZ300711,广哈通信,22.45,-0.22,88.77,22.95,172.116,0.104,4661566761,7284
SH600655,豫园股份,9.07,-0.22,19.65,0.33,10.636,3.197,35225721013,45964
SH603036,如通股份,9.16,-0.22,-13.34,0.45,28.058,1.31,1887262280,5891
SH600836,*ST界龙,4.48,-0.22,-9.86,0.44,18.909,0,2969133763,31233
SZ000785,居然之家,8.82,-0.23,-10.6,0.64,20.627,0.884,53094901491,15601
SZ002662,京威股份,4.34,-0.23,64.39,1.56,None,0,6510000000,19695
SZ000739,普洛药业,21.25,-0.23,65.36,1.3,33.307,0.776,25043624205,25587
SH600629,华建集团,8.58,-0.23,0.05,0.15,15.648,1.399,4583033066,23920
SH603328,依顿电子,8.8,-0.23,-18.71,0.27,23.42,5.341,8786294977,22429
SH603580,艾艾精工,12.95,-0.23,3.54,0.58,46.548,0.633,1692217940,2240
SH600202,哈空调,4.35,-0.23,-10.1,0.54,37.599,0.92,1667531923,12460
SH600626,申达股份,4.33,-0.23,-27.27,0.44,None,0.577,3690421398,18454
SH688018,乐鑫科技,170.58,-0.23,2.1,2.27,94.923,None,13646400000,13510
SH603566,普莱柯,26.09,-0.23,38.89,0.89,51.084,0.767,8387830640,13506
SH601128,常熟银行,8.52,-0.23,-4.1,1.21,12.994,2.347,23352092481,14093
SH600583,海油工程,4.43,-0.23,-39.19,0.28,39.292,1.354,19586601764,70470
SH601598,中国外运,4.23,-0.24,2.62,2.53,12.516,2.837,31305400391,46368
SZ000010,美丽生态,4.15,-0.24,22.06,1.1,75.508,0,3402397059,10071
SH600707,彩虹股份,4.17,-0.24,-0.71,0.19,None,0,14963585182,33547
SZ000928,中钢国际,4.09,-0.24,-12.95,0.24,10.556,3.178,5139751433,16435
SH600683,京投发展,4.23,-0.24,-6.62,0.22,31.582,0,3133489235,114050
SZ300240,飞力达,8.21,-0.24,27,9.52,120.893,0.244,3001245548,16064
SZ002178,延华智能,4.18,-0.24,-0.24,0.55,107.681,0,2976799544,24952
SZ000633,合金投资,4.11,-0.24,-0.72,1.52,215.865,0,1582787193,8091
SZ000732,泰禾集团,4.1,-0.24,-33.33,0.53,None,0,10204495904,52627
SZ300397,天和防务,24.9,-0.24,52.18,3.78,102.244,0.163,10756800000,77313
SH600995,文山电力,7.94,-0.25,4.76,0.33,16.837,2.771,3799499616,16306
SH603626,科森科技,16.18,-0.25,55.73,1.25,None,0,7849191507,10901
SH600499,科达制造,4.03,-0.25,-6.93,0.19,None,0,7610332314,60023
SH600551,时代出版,8.11,-0.25,-1.1,0.21,22.07,0,4102243151,31279
SZ002170,芭田股份,3.95,-0.25,20.24,0.57,87.336,0.152,3503107377,29204
SH600689,上海三毛,7.84,-0.25,-19.88,0.71,None,0.166,1575772129,14365
SZ000737,ST南风,3.97,-0.25,35.03,0.65,44.685,0,2178577200,9277
SZ002327,富安娜,8.14,-0.25,25.4,1.67,12.807,6.143,6862214465,35119
SZ300487,蓝晓科技,47.58,-0.25,31.23,1.46,45.3,0.513,10209604206,31033
SZ002531,天顺风能,7.99,-0.25,28.38,3.75,14.875,1.252,14214362186,22205
SH600811,东方集团,3.8,-0.26,13.1,0.51,24.004,0,14115389271,22534
SZ300779,惠城环保,23.42,-0.26,-25.16,6.44,101.194,0.427,2342000000,3211
SZ002719,*ST麦趣,7.72,-0.26,-34.24,0.92,None,0,1344356608,19470
SZ002465,海格通信,11.55,-0.26,7.73,0.55,52.168,1.039,26616382150,115819
SH600297,广汇汽车,3.87,-0.26,18.71,2.01,19.719,0,31386867773,33693
SH688157,松井股份,112.61,-0.26,226.6,4.16,90.69,None,8963756000,2700
SZ002159,三特索道,11.53,-0.26,-6.34,0.77,None,0,1598826659,8705
SH601218,吉鑫科技,3.82,-0.26,35.14,2.25,25.945,0.345,3733515200,16610
SH600894,广日股份,7.67,-0.26,4.31,0.42,14.515,1.956,6595792685,14535
SH600497,驰宏锌锗,3.82,-0.26,-9.76,0.25,43.333,3.141,19448733790,38627
SZ300616,尚品宅配,59.38,-0.27,-19.55,0.44,48.711,1.01,11797321500,21014
SH600163,中闽能源,3.63,-0.27,4.91,0.31,25.96,0,6132169846,19376
SH600539,ST狮头,7.34,-0.27,8.1,0.24,None,0,1688200000,4641
SH600172,黄河旋风,3.63,-0.27,24.74,2.76,None,0,5235129648,104100
SZ000667,美好置业,3.76,-0.27,37.73,0.27,104.88,0,9275877260,54922
SZ300632,光莆股份,22.45,-0.27,22.66,13.6,29.526,0.857,5336774623,13445
SZ300575,中旗股份,36.8,-0.27,34.33,4.57,28.386,0.78,5080221600,8497
SH600503,华丽家族,3.68,-0.27,16.16,0.64,18.432,0.489,5896427200,57841
SZ000825,太钢不锈,3.63,-0.27,-8.58,0.19,13.398,2.755,20677379499,79433
SH603326,我乐家居,11.24,-0.27,3.98,0.66,22.852,1.779,3559011120,6518
SH600399,ST抚钢,7.47,-0.27,126.36,0.43,40.939,0,14731587000,49625
SZ000791,甘肃电投,3.53,-0.28,-1.02,0.49,11.43,2.833,4799305680,21839
SH600699,均胜电子,21.18,-0.28,18.64,0.67,None,0.331,26205231717,111069
SZ002578,闽发铝业,3.49,-0.29,-1.97,0.37,53.14,0,3448445603,6463
SH600208,新湖中宝,3.38,-0.29,-10.32,0.32,10.537,0.296,29065781152,132383
SH600208,新湖中宝,3.38,-0.29,-10.32,0.32,10.537,0.296,29065781152,132383
SZ000761,本钢板材,3.4,-0.29,-13.71,0.05,36.9,0,13176263209,19307
SH605116,奥锐特,20.3,-0.29,142.53,19.35,37.486,None,8140300000,1999
SZ002482,广田集团,3.41,-0.29,-21.9,0.38,None,0.352,5242123630,14389
SH601107,四川成渝,3.4,-0.29,-16.66,0.09,121.589,3.235,10397404000,16137
SH600128,弘业股份,6.88,-0.29,-7.96,1.2,25.054,0.727,1697760400,23300
SZ200020,深华发B,3.47,-0.29,-16.79,0.03,140.09,0,982569458,894
SH600433,冠豪高新,3.41,-0.29,3.98,0.48,24.35,0.821,4335185661,28326
SZ002275,桂林三金,13.8,-0.29,7.01,0.13,22.695,1.667,8144760000,32398
SH600392,盛和资源,6.8,-0.29,-25.03,0.46,None,0,11935136056,55296
SH600269,赣粤高速,3.43,-0.29,-13.54,0.14,1307.276,4.373,8010446058,33824
SZ002621,美吉姆,6.88,-0.29,-12.04,0.34,90.828,0,5687440525,10492
SZ000429,粤高速A,6.83,-0.29,-12.37,0.11,27.658,6.179,14280205841,23003
SH600980,北矿科技,13.61,-0.29,-2.97,0.68,49.825,0.22,2112406467,13441
SH601616,广电电气,3.28,-0.3,9.17,0.61,15.604,1.524,3068686000,12258
SZ300440,运达科技,9.94,-0.3,23.89,1.78,32.218,0.573,4453120000,14054
SH603577,汇金通,10.1,-0.3,33.98,0.39,32.822,0.622,2911509174,6142
SH600664,哈药股份,3.37,-0.3,-11.08,0.34,None,0,8448654286,43383
SH600260,凯乐科技,13.31,-0.3,-1.92,2.66,22.508,0,13319517036,33354
SH600801,华新水泥,23.62,-0.3,-6.34,0.3,9.117,5.123,49521688575,70927
SZ000516,国际医学,6.6,-0.3,36.08,0.73,None,0,13008925393,61449
SH600370,三房巷,3.31,-0.3,9.65,0.47,254.248,0.198,12105220807,12149
SZ002639,雪人股份,6.61,-0.3,-22.42,0.77,270.962,0,4455620990,29308
SH603886,元祖股份,16.42,-0.3,-0.68,0.81,16.583,7.308,3940800000,29524
SZ002818,富森美,13.36,-0.3,6.93,0.8,14.202,1.13,10044808184,13745
SZ000905,厦门港务,6.69,-0.3,-10.23,0.4,54.141,0.224,4182531282,56166
SH601008,连云港,3.33,-0.3,-13.9,0.26,517.71,0.06,3642441286,68928
SH603578,三星新材,23.18,-0.3,16.94,1.1,30.542,0.885,2126422678,3879
SH601619,嘉泽新能,3.23,-0.31,-14.5,0.41,26.064,1.331,6699343000,8260
SZ002771,真视通,12.66,-0.31,12.63,1.77,86.78,0.276,2655613506,29228
SH600679,上海凤凰,12.88,-0.31,4.38,0.4,99.987,0,5180322437,29504
SH601828,美凯龙,9.66,-0.31,-4.01,0.51,13.119,2.381,37722300000,19532
SZ000759,中百集团,6.33,-0.31,-14.41,0.36,None,0.79,4310866095,26252
SZ000830,鲁西化工,9.63,-0.31,-2.33,1.37,12.259,5.192,14106609292,73954
SH600767,ST运盛,3.26,-0.31,-31.66,0.33,None,0,1111693193,17739
SH603637,镇海股份,9.75,-0.31,-10.43,0.36,40.251,1.465,2376094822,2763
SZ000711,京蓝科技,3.25,-0.31,-40.26,0.27,None,0,3326920402,10147
SZ000692,惠天热电,3.24,-0.31,10.2,1.33,None,0,1726378842,10948
SZ000150,宜华健康,3.18,-0.31,-33.61,0.58,None,0,2791078231,19507
SZ300202,聚龙股份,12.65,-0.32,14.29,3.77,218.979,0.632,6951225600,18733
SZ002040,南京港,6.3,-0.32,-9.52,0.24,24.599,0.683,3048990840,21603
SH688311,盟升电子,94.2,-0.32,127.25,3.33,125.437,None,10801914000,2593
SH600275,ST昌鱼,3.1,-0.32,41.55,0.73,None,0,1577395438,36585
SH600857,宁波中百,9.34,-0.32,1.41,0.24,90.935,0,2095148043,56802
SH600377,宁沪高速,9.35,-0.32,-12.73,0.07,19.596,4.92,47102939125,46739
SZ000965,天保基建,3.16,-0.32,-0.03,0.33,11.959,0.633,3507065628,15813
SH601155,新城控股,33.99,-0.32,-7.98,0.18,5.782,5.001,76706055082,142626
SH603701,德宏股份,9.23,-0.32,-4.68,0.52,45.377,1.667,2424652809,7635
SZ300486,东杰智能,17.9,-0.33,30.91,0.14,51.734,0.205,4851011947,18220
SH600673,东阳光,6.06,-0.33,-40.82,0.33,24.153,0,18264217390,45149
SZ002623,亚玛顿,39.41,-0.33,76.73,3.19,None,0,6305600000,21035
SZ002813,路畅科技,18.23,-0.33,-24.79,2.43,None,0,2187600000,13844
SZ300867,圣元环保,42.75,-0.33,121.04,15.75,57.75,None,11616930016,3161
SH600439,瑞贝卡,3.03,-0.33,-14.88,0.4,31.796,0.99,3429915883,26151
SH603367,辰欣药业,15,-0.33,-7.96,0.22,15.408,1.787,6800295000,13378
SH603239,浙江仙通,15.05,-0.33,39.53,0.47,38.481,3.322,4074336000,5764
SZ000812,陕西金叶,3.06,-0.33,-6.85,0.48,57.747,0.49,2352199399,16189
SZ002141,贤丰控股,3.01,-0.33,-17.98,0.7,None,0,3415316122,11476
SH600749,西藏旅游,9.15,-0.33,-3.48,0.51,None,0,2076734481,21560
SH688009,中国通号,6.12,-0.33,-8.77,0.92,19.504,None,64809692280,10497
SZ002357,富临运业,5.98,-0.33,-4.17,0.48,35.459,0,1874664435,11082
SH600190,锦州港,2.91,-0.34,-4.27,0.07,33.951,0.687,5826668265,16943
SZ000813,德展健康,5.94,-0.34,-5.56,0.59,47.993,0,13314401892,10012
SH600512,腾达建设,2.93,-0.34,5.35,0.44,17.292,1.024,4684785298,17164
SH601600,中国铝业,2.95,-0.34,-16.67,0.21,280.072,0,50216885205,124321
SH600797,浙大网新,8.79,-0.34,-12.41,1.05,111.644,0.348,9031963227,58552
SH600423,ST柳化,2.9,-0.34,-12.91,0.08,None,0,2316215575,8112
SZ002642,荣联科技,5.83,-0.34,-6.27,0.94,158.869,0,3906568225,46693
SH600008,首创股份,2.97,-0.34,-1.25,0.29,20.498,2.086,21801554311,63608
SZ300596,利安隆,34.8,-0.34,-4.69,1.02,26.255,0.552,7134362616,12066
SZ200771,杭汽轮B,8.88,-0.34,11.78,0.07,13.882,2.462,6695612352,3852
SH600735,新华锦,5.88,-0.34,-10.38,0.62,37.201,1.071,2210834700,12694
SH600737,中粮糖业,8.81,-0.34,5.76,0.8,26.575,1.419,18843252889,92123
SH600320,振华重工,2.94,-0.34,-17.73,0.14,50.102,1.701,15488959293,42576
SZ300422,博世科,11.67,-0.34,12.57,1.09,17.989,0.752,4734663626,27487
SH600101,明星电力,5.82,-0.34,-15.73,0.24,26.311,0.859,2452738139,16549
SZ002195,二三四五,2.83,-0.35,-11.92,0.71,50.249,0.53,16201318886,49211
SH600839,四川长虹,2.82,-0.35,-2.81,0.46,None,0.355,13017808706,110040
SZ300875,捷强装备,116.4,-0.35,119.21,10.61,83.079,0,8939050093,3889
SZ003816,中国广核,2.85,-0.35,-18.97,0.19,14.917,2.667,143921041635,16307
SH600148,长春一东,14.34,-0.35,8.42,0.55,63.117,0.799,2029345893,22403
SH603316,诚邦股份,8.53,-0.35,-7.83,0.6,46.633,0.375,1733978400,2237
SH603353,和顺石油,53.73,-0.35,94.91,2.21,47.26,0.744,7166507400,4061
SH600035,楚天高速,2.88,-0.35,-11.16,0.13,12.631,5.841,4637133795,29012
SZ300677,英科医疗,101.98,-0.35,826.74,2.6,16.763,0.424,34007565220,41368
SZ002701,奥瑞金,5.76,-0.35,35.38,0.92,35.764,3.124,13551139146,41592
SZ000930,中粮科技,8.54,-0.35,29.68,1.2,20.635,0.187,15933622750,168688
SZ002061,浙江交科,5.68,-0.35,-1.04,0.39,10.251,2.113,7813629509,16913
SZ002589,瑞康医药,5.68,-0.35,-26.14,0.66,None,0,8546755475,20330
SZ002201,九鼎新材,14.07,-0.35,-33.31,0.69,142.137,0.107,4677817303,22844
SH600098,广州发展,5.77,-0.35,-11.02,0.04,17.943,0.867,15730154140,100792
