股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,关注者
SZ002716,*ST金贵,2.59,4.86,-9.76,3.27,None,0,2487638517,29506
SZ000869,张裕A,34.6,4.85,22.98,2.05,28.459,2.023,23717054400,75000
SH603855,华荣股份,19.27,4.84,99.43,2.04,28.103,2.057,6497651300,3627
SZ300514,友讯达,14.87,4.72,19.71,9.95,50.244,0.336,2974000000,5924
SZ000017,*ST中华A,2.7,4.65,-40.27,3.97,None,0,1488639457,14276
SH601238,广汽集团,11.98,4.45,4.46,1.44,30.534,1.502,122650391912,51601
SZ002076,*ST雪莱,2.12,4.43,-14.52,1.93,None,0,1619919634,17962
SZ300038,数知科技,8.72,4.43,1.43,6.79,35.512,0.287,10218332513,25320
SZ002706,良信电器,25.85,4.4,214.05,0.92,64.98,0.967,20285448736,17704
SH600421,ST仰帆,11.65,4.39,42.77,0.49,414.782,0,2278740000,8334
SZ002428,云南锗业,13.51,4.32,58.75,5.88,None,0,8823651200,33956
SH600179,*ST安通,6.04,4.32,37.9,1.38,None,0,8981358687,15731
SH603992,松霖科技,17.16,4.32,-13.82,11.22,26.446,1.026,6881329163,2721
SH601028,玉龙股份,13.45,4.26,163.21,1.1,122.711,0,10531696472,14535
SZ300129,泰胜风能,8.83,4.25,86.19,17.84,29.486,1.133,6350123250,14355
SZ300499,高澜股份,12.5,4.25,58.51,9.26,62.533,0.427,3478743338,8496
SZ002240,威华股份,12.5,4.25,57.23,4.6,None,0,9299175725,23771
SZ300880,迦南智能,53.74,4.21,452.31,51.73,100.729,None,7166766400,3393
SZ000587,*ST金洲,1.49,4.2,-18.13,3.09,None,0,3164386502,18037
SZ300283,温州宏丰,7.24,4.17,61.75,16.75,177.852,0.18,2999976174,4403
SZ300505,川金诺,20.34,4.15,15.63,20.14,36.884,0.605,2658111706,10044
SZ300269,联建光电,6.83,4.12,37.7,27.86,None,0,3877169339,14665
SZ300897,山科智能,57.13,4.1,70.74,33.25,59.718,None,3884840000,992
SZ300693,盛弘股份,27.01,4.08,89.48,12.44,36.226,0.37,3696327386,10298
SZ300107,建新股份,7.45,4.05,10.28,7.96,24.11,8.036,4103646414,19854
SZ300151,昌红科技,23.9,4,179.21,4.07,89.314,0,12009750000,17570
SH600733,北汽蓝谷,6.51,3.99,11.47,1.74,None,0,22743722284,18644
SH600696,ST岩石,8.36,3.98,-34.99,0.48,305.451,0,2796164443,23342
SZ300351,永贵电器,11.4,3.92,29.4,3.85,None,0,4373517170,19459
SZ000729,燕京啤酒,8.62,3.86,32.61,2.18,337.299,0.255,24295809119,46508
SZ002203,海亮股份,8.2,3.8,-19.34,0.78,20.44,0.915,16007316539,10553
SZ300386,飞天诚信,26.88,3.74,70.42,9.91,107.491,0.074,11237022720,42962
SH600908,无锡银行,6.13,3.72,14.47,3.41,8.84,2.936,11330056037,25578
SZ300394,天孚通信,57.51,3.7,51.59,3.29,44.812,0.697,11419640504,20376
SZ002345,潮宏基,4.25,3.66,8.54,1.97,None,2.353,3848004005,12050
