股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,24.8,-2.86,62.94,16.7,38.552,None,677000965.0,24.8,38.47
300479,神思电子,17.6,-4.24,11.12,6.32,323.183,0.17,2955071205.0,13.3733,21.94
300582,英飞特,25.96,-9.86,119.84,34.69,43.617,0.227,3496739727.0,9.9383,31.82
300516,久之洋,42.38,-2.55,43.08,4.85,138.301,0.165,7628400000.0,25.2195,50.48
300593,新雷能,23.95,-4.62,32.32,13.31,49.354,0.209,2808264579.0,13.0569,29.36
300466,赛摩智能,8.0,-6.1,36.52,9.54,-21.556,0.0,3012899280.0,3.92,9.83
300895,铜牛信息,64.88,-4.84,412.89,30.06,110.512,0.062,1492217552.0,52.32,79.98
300898,熊猫乳品,57.7,-10.96,435.25,45.38,110.558,1.3,1526536473.0,40.0,88.0
300712,永福股份,15.74,-8.86,36.49,14.6,48.151,0.635,1235578101.0,9.2273,21.99
300141,和顺电气,14.09,1.0,111.5,20.28,-422.75,0.107,2333169004.0,5.4734,17.45
300826,测绘股份,41.81,0.89,82.74,14.8,42.257,0.0,836200000.0,27.46,55.88
300279,和晶科技,6.96,-7.08,16.0,10.75,-1503.975,0.0,3059172349.0,4.65,9.36
300491,通合科技,18.52,-3.54,42.35,8.62,166.603,0.0,2250067158.0,10.7,22.95
603041,美思德,15.25,1.26,25.15,1.9,20.131,1.03,2140879790.0,10.7236,17.39
605338,巴比食品,48.4,1.68,280.5,20.43,82.753,None,3000800000.0,15.26,50.47
605058,澳弘电子,26.67,0.83,46.3,14.55,31.659,None,952945770.0,26.25,34.95
003009,中天火箭,69.54,0.32,437.4,54.95,95.722,None,2701496874.0,17.08,94.14
002970,锐明技术,58.06,0.1,-4.61,6.04,45.821,0.689,2508192000.0,22.6415,86.8918
605111,新洁能,124.98,-2.97,527.72,27.85,92.634,0.158,3161994000.0,28.67,131.77
603919,金徽酒,33.23,0.09,147.88,8.28,63.157,0.56,16326136295.0,8.9925,35.47
003015,日久光电,17.24,2.74,162.4,53.71,49.115,0.0,1211397339.0,7.88,18.46
600573,惠泉啤酒,8.32,-4.91,25.81,8.21,69.095,0.361,2080000000.0,5.3381,9.03
003013,地铁设计,20.2,-0.69,50.41,15.31,29.077,None,808202000.0,16.12,25.74
300891,惠云钛业,20.01,-11.77,449.73,41.09,106.813,0.375,1897885909.0,16.21,26.01
300848,美瑞新材,52.92,-2.52,87.79,13.48,39.106,0.0,882176400.0,33.82,71.87
300845,捷安高科,37.8,-6.39,114.41,15.3,41.353,0.0,872802000.0,21.16,59.87
300100,双林股份,15.62,2.83,161.2,18.71,-9.035,0.0,5953370843.0,4.66,18.58
300589,江龙船艇,37.78,1.83,194.24,23.71,232.073,0.0,3578900760.0,9.81,44.0
300849,锦盛新材,28.24,-6.37,101.86,22.77,57.036,0.0,706000000.0,16.79,40.87
