股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,27.78,-18.29,82.52,49.79,45.461,None,758350274.0,27.58,38.47
300479,神思电子,20.75,-5.42,31.01,17.8,273.027,0.144,3481061998.0,13.3733,21.94
300582,英飞特,28.34,19.98,139.99,43.48,47.616,0.208,3817319101.0,9.9383,28.34
300516,久之洋,45.99,1.68,55.27,10.37,150.041,0.152,8278200000.0,25.2195,48.99
300593,新雷能,27.09,-1.85,49.67,28.87,55.824,0.185,3176446240.0,13.0569,29.36
300466,赛摩智能,9.46,-0.21,61.43,29.27,-27.096,0.0,3562753399.0,3.92,9.83
300895,铜牛信息,77.51,-1.76,512.73,51.99,132.025,0.052,1782703182.0,52.32,79.98
300898,熊猫乳品,77.79,0.35,621.61,62.9,145.24,0.964,2058046312.0,40.0,88.0
300712,永福股份,20.42,-2.3,77.08,39.94,60.879,0.49,1602954562.0,9.2273,21.99
300141,和顺电气,15.22,20.03,128.46,21.1,-2843.082,0.099,2520286177.0,5.4734,15.22
300826,测绘股份,43.95,-4.25,92.09,29.09,43.961,0.0,879000000.0,27.46,55.88
300279,和晶科技,8.06,-8.3,34.33,23.12,-1741.673,0.0,3542662231.0,4.65,9.36
300491,通合科技,21.77,14.76,67.33,20.99,347.84,0.0,2644922355.0,10.7,22.95
603041,美思德,15.88,4.2,30.32,6.62,20.962,0.99,2228989213.0,10.7236,17.39
605338,巴比食品,47.53,10.0,273.66,36.79,81.266,None,2946860000.0,15.26,47.53
605058,澳弘电子,29.32,-7.71,60.83,46.7,34.805,None,1047632920.0,26.25,34.95
003009,中天火箭,77.8,10.0,501.24,0.4,107.092,None,3022382180.0,17.08,77.8
002970,锐明技术,59.71,4.15,-1.9,13.8,47.124,0.67,2579472000.0,22.6415,86.8918
605111,新洁能,108.9,10.0,446.96,0.99,94.91,0.182,2755170000.0,28.67,108.9
603919,金徽酒,26.75,-9.99,99.54,6.61,50.841,0.696,13142466022.0,8.9925,30.36
003015,日久光电,12.6,10.04,91.78,0.78,38.934,0.0,885360004.0,7.88,12.6
600573,惠泉啤酒,8.13,-9.97,22.94,13.58,67.517,0.369,2032500000.0,5.3381,9.03
