股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,25.56,-3.87,67.94,15.25,39.734,None,697747769.0,24.66,38.47
300479,神思电子,17.33,-5.4,9.42,4.23,318.225,0.173,2909737726.0,13.3733,21.94
300582,英飞特,23.02,-5.85,94.94,17.57,38.677,0.256,3100729912.0,9.9383,31.82
300516,久之洋,40.94,-3.26,38.22,2.82,133.602,0.171,7369200000.0,25.2195,50.48
300593,新雷能,22.39,-7.1,23.7,9.43,46.136,0.223,2756999501.0,13.0569,29.36
300466,赛摩智能,8.16,-6.64,39.25,8.65,-21.987,0.0,3073157266.0,3.92,9.83
300895,铜牛信息,64.52,-5.8,410.04,25.13,109.899,0.062,1483937676.0,52.32,79.98
300898,熊猫乳品,63.3,2.93,487.2,45.4,121.288,1.185,1674692525.0,40.0,88.0
300712,永福股份,17.35,-0.69,50.46,3.76,53.076,0.576,3159504400.0,9.2273,21.99
300141,和顺电气,15.84,-11.31,137.77,29.3,-475.257,0.095,2622952237.0,5.4734,17.86
300826,测绘股份,41.57,-7.68,81.69,16.09,42.015,0.0,831400000.0,27.46,55.88
300279,和晶科技,6.97,-3.19,16.17,7.24,-1506.136,0.0,3063567711.0,4.65,9.36
300491,通合科技,24.06,-13.76,84.93,21.1,216.44,0.0,2923143402.0,10.7,28.83
603041,美思德,16.35,2.64,34.18,2.93,21.583,0.961,2295303906.0,10.7236,17.39
605338,巴比食品,47.99,-1.7,277.28,16.36,82.052,None,2975380000.0,15.26,50.89
605058,澳弘电子,28.18,4.95,54.58,25.69,33.452,None,1006899580.0,25.21,34.95
003009,中天火箭,64.89,1.39,401.47,33.86,89.321,None,2520853209.0,17.08,94.14
002970,锐明技术,67.11,-2.73,10.25,10.38,52.964,0.596,2899152000.0,22.6415,86.8918
605111,新洁能,149.94,10.0,653.09,23.73,111.134,0.132,3793482000.0,28.67,149.94
603919,金徽酒,37.35,-5.94,178.62,6.32,70.988,0.498,18350321716.0,8.9925,41.63
003015,日久光电,17.81,7.55,171.08,44.65,50.738,0.0,1251449339.0,7.88,18.46
600573,惠泉啤酒,9.05,1.34,36.85,11.78,75.157,0.331,2262500000.0,5.3381,9.41
003013,地铁设计,21.75,0.0,61.95,20.12,31.308,None,870217500.0,16.12,25.74
300891,惠云钛业,18.7,-4.54,413.74,17.51,99.82,0.401,1773636506.0,16.21,26.01
300848,美瑞新材,57.41,0.63,103.73,16.95,42.424,0.0,957024700.0,33.82,71.87
300845,捷安高科,42.9,-1.36,143.34,14.14,46.932,0.0,990561000.0,21.16,59.87
300100,双林股份,15.55,-11.04,160.03,15.14,-8.994,0.0,5926691204.0,4.66,18.58
300589,江龙船艇,34.56,-1.34,169.16,17.59,212.293,0.0,3273870044.0,9.81,44.0
300849,锦盛新材,29.59,-2.47,111.51,19.37,59.763,0.0,739750000.0,16.79,40.87
300561,汇金科技,21.66,-7.91,40.23,9.05,291.684,0.371,2912285488.0,12.1544,30.79
002724,海洋王,7.73,-2.52,10.1,1.81,20.072,1.194,2574716323.0,5.5654,8.64
300444,双杰电气,7.03,-7.26,40.88,14.96,-6.334,0.0,2467929276.0,3.68,9.5
000036,华联控股,4.11,-0.72,3.32,0.28,8.229,9.732,6080639907.0,3.1011,5.1
300385,雪浪环境,10.74,-3.76,43.19,4.49,34.271,0.582,2416848266.0,5.6918,12.73
300556,丝路视觉,25.27,0.76,51.33,8.91,49.736,0.198,2177366150.0,13.857,30.43
300885,海昌新材,50.01,-4.74,163.63,15.17,70.531,None,1000200000.0,39.18,80.0
300781,因赛集团,53.11,12.05,64.53,61.87,126.178,0.377,1462999926.0,24.9255,65.1
600861,北京城乡,21.74,-0.73,155.72,1.06,-64.884,0.092,6887339591.0,8.1119,23.31
