股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,28.06,1.01,84.36,35.88,45.919,None,765993834.0,27.01,38.47
300479,神思电子,19.45,-6.27,22.8,12.47,255.922,0.154,3262971367.0,13.3733,21.94
300582,英飞特,26.52,-6.42,124.58,45.61,44.558,0.222,3572170168.0,9.9383,30.63
300516,久之洋,44.24,-3.81,49.36,8.53,144.331,0.158,7963200000.0,25.2195,50.48
300593,新雷能,25.95,-4.21,43.37,22.1,53.475,0.193,3042775191.0,13.0569,29.36
300466,赛摩智能,9.04,-4.44,54.27,16.89,-25.893,0.0,3404576186.0,3.92,9.83
300895,铜牛信息,72.35,-6.66,471.94,39.8,123.236,0.056,1664024967.0,52.32,79.98
300898,熊猫乳品,74.1,-4.74,587.38,59.03,138.351,1.012,1960422056.0,40.0,88.0
300712,永福股份,18.31,-10.33,58.78,28.53,54.588,0.546,1437321158.0,9.2273,21.99
300141,和顺电气,14.69,-3.48,120.5,39.84,-2744.079,0.103,2432523255.0,5.4734,16.8
300826,测绘股份,41.49,-5.6,81.34,20.47,41.5,0.0,829800000.0,27.46,55.88
300279,和晶科技,7.95,-1.36,32.5,18.46,-1717.903,0.0,3494313243.0,4.65,9.36
300491,通合科技,20.32,-6.66,56.19,17.43,324.672,0.0,2468756190.0,10.7,22.95
603041,美思德,15.4,-3.02,26.38,3.63,20.329,1.02,2161614224.0,10.7236,17.39
605338,巴比食品,46.0,-3.22,261.64,29.34,78.65,None,2852000000.0,15.26,47.99
605058,澳弘电子,27.37,-6.65,50.14,30.97,32.49,None,977957470.0,26.25,34.95
003009,中天火箭,85.58,10.0,561.36,0.24,117.801,None,3324620398.0,17.08,85.58
002970,锐明技术,59.08,-1.06,-2.94,7.94,46.626,0.677,2552256000.0,22.6415,86.8918
605111,新洁能,119.79,10.0,501.66,9.88,104.401,0.165,3030687000.0,28.67,119.79
603919,金徽酒,27.44,2.58,104.69,6.65,52.153,0.678,13481467949.0,8.9925,30.36
003015,日久光电,13.86,10.0,110.96,0.33,42.827,0.0,973896005.0,7.88,13.86
600573,惠泉啤酒,8.14,0.12,23.09,7.48,67.6,0.369,2035000000.0,5.3381,9.03
003013,地铁设计,24.35,4.06,81.31,56.74,35.051,None,974243500.0,16.12,25.74
300891,惠云钛业,20.8,-0.72,471.43,30.36,92.966,0.361,1972814938.0,16.21,26.01
300848,美瑞新材,55.99,-5.74,98.69,21.36,41.375,0.0,933353300.0,33.82,71.87
300845,捷安高科,43.27,-7.32,145.43,25.64,47.337,0.0,999104300.0,21.16,59.87
300100,双林股份,15.87,-10.44,165.38,19.53,-9.179,0.0,6048655267.0,4.66,18.58
300589,江龙船艇,36.8,19.99,186.6,35.51,226.053,0.0,3486065325.0,9.81,37.66
300849,锦盛新材,31.79,-8.89,127.23,42.01,64.206,0.0,794750000.0,16.79,40.87
300561,汇金科技,26.06,2.84,68.71,15.19,504.073,0.309,3503885495.0,12.1544,30.79
002724,海洋王,7.64,-1.93,8.82,2.55,19.839,1.208,2544739031.0,5.5654,8.64
300444,双杰电气,8.63,7.47,72.95,48.68,-7.775,0.0,3029620149.0,3.68,9.5
000036,华联控股,4.24,-0.47,6.59,0.53,7.853,9.434,6272971583.0,3.1011,5.1
300385,雪浪环境,10.61,-2.75,41.46,9.34,33.856,0.589,2387594050.0,5.6918,11.62
300556,丝路视觉,27.89,-1.8,67.02,17.41,59.244,0.18,2403116024.0,13.857,30.0
300885,海昌新材,58.84,-5.89,210.17,44.12,82.985,None,1176800000.0,39.18,80.0
300781,因赛集团,57.99,-1.68,79.65,41.89,137.772,0.345,1597427334.0,24.9255,63.99
600861,北京城乡,22.98,1.91,170.31,2.4,-74.365,0.087,7280177728.0,8.1119,23.08
300899,上海凯鑫,84.98,19.99,247.85,61.12,104.266,0.15,1355431000.0,53.0,101.0
300176,派生科技,9.44,-6.72,5.36,7.94,-19.277,0.0,3541791372.0,5.2,11.19
300411,金盾股份,15.01,0.33,103.11,23.21,68.879,0.0,2231571358.0,6.78,16.84
002659,凯文教育,5.99,3.28,-4.01,1.73,129.504,0.0,2986352009.0,5.08,8.08
603333,尚纬股份,7.27,0.0,-28.35,None,68.855,0.825,3756886508.0,6.338,12.2
601163,三角轮胎,17.2,1.06,15.04,2.47,13.148,2.035,13760000000.0,12.2252,17.79
300882,万胜智能,39.38,-2.84,281.22,26.32,165.99,None,1468326106.0,28.66,60.0
002417,深南股份,9.54,-3.83,37.27,16.73,111.761,0.0,2247603699.0,5.45,13.75
300555,路通视信,11.4,-1.38,22.09,10.52,-3260.972,0.175,1982581592.0,7.1728,13.9665
300670,大烨智能,10.64,-8.59,26.97,25.94,69.865,0.0,1896048000.0,5.97,11.66
300588,熙菱信息,15.29,-0.52,52.7,16.6,-169.859,0.039,1604558975.0,7.9644,18.47
002109,兴化股份,3.52,-4.86,4.79,2.1,29.646,0.568,3706365657.0,2.7331,3.8958
300851,交大思诺,48.79,-3.67,71.37,11.23,35.989,0.697,1060372586.0,34.1669,66.0216
601669,中国电建,3.99,-1.97,-7.17,0.56,8.527,0.996,44466162145.0,3.3673,4.88
605008,长鸿高科,22.91,0.0,117.36,8.39,50.368,None,1053860000.0,12.65,23.49
600890,中房股份,7.49,0.4,18.33,0.91,293.307,0.0,4338169988.0,5.28,10.4
002147,*ST新光,1.36,-0.73,-35.85,1.16,-0.426,0.0,730313204.0,1.25,2.55
603877,太平鸟,40.21,-3.01,175.91,0.52,29.267,1.749,19169224436.0,12.9128,43.74
603488,展鹏科技,10.12,4.01,66.2,2.86,31.208,1.976,2954943253.0,5.0222,13.79
600145,*ST新亿,1.59,-0.63,-44.21,0.27,127.454,0.0,2370849604.0,1.19,2.71
002086,*ST东洋,1.85,-3.65,-50.0,3.55,-1.352,0.0,1012502179.0,1.59,4.15
300847,中船汉光,36.32,2.89,423.34,19.42,84.893,0.0,1792028800.0,8.33,41.3
000906,浙商中拓,7.13,-1.79,26.0,1.19,11.024,3.507,4716578093.0,4.7651,7.82
300892,品渥食品,66.13,-0.57,148.05,22.58,52.969,None,1567960618.0,54.01,82.0
600306,*ST商城,5.23,-4.91,-8.08,1.28,-7.305,0.0,928092244.0,3.82,6.56
002290,ST中科创,5.36,-2.01,7.41,1.15,-1.641,0.0,1160300887.0,4.24,5.83
002163,海南发展,18.67,0.86,236.4,2.73,157.697,0.0,15000850693.0,4.25,25.5
600238,ST椰岛,4.79,-3.43,-19.09,0.66,-9.138,0.0,2131557568.0,3.94,7.14
002638,*ST勤上,1.48,-2.63,-59.89,1.44,-5.689,0.0,1449467425.0,1.36,3.88
600518,ST康美,3.38,-2.03,-9.38,0.6,-2.725,0.0,14901699945.0,2.31,4.82
601777,*ST力帆,5.2,-1.14,68.83,1.41,-1.079,0.0,6686296651.0,2.21,6.45
300062,中能电气,20.05,9.32,271.33,51.61,-2454.432,0.1,3888946621.0,4.3335,20.98
000408,*ST藏格,7.72,2.52,4.61,1.46,50.655,0.0,3655313155.0,3.55,9.07
300445,康斯特,16.85,0.96,23.46,1.87,52.845,0.315,1966755809.0,11.2005,19.32
688198,佰仁医疗,103.99,2.68,147.11,3.03,138.873,None,2121396000.0,31.0,149.88
002366,台海核电,5.22,-0.95,-25.0,7.65,-6.659,0.0,2609068914.0,3.87,7.85
