股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,26.07,5.12,71.29,20.07,40.527,None,711669966.0,24.66,38.47
300479,神思电子,17.85,1.42,12.7,4.05,327.774,0.168,2997046648.0,13.3733,21.94
300582,英飞特,26.7,2.85,126.11,26.62,44.86,0.221,3596415667.0,9.9383,31.82
300516,久之洋,43.16,1.84,45.72,3.4,140.847,0.162,7768800000.0,25.2195,50.48
300593,新雷能,24.39,1.84,34.75,8.73,50.26,0.205,2859856913.0,13.0569,29.36
300466,赛摩智能,8.32,4.0,41.98,7.45,-22.418,0.0,3133415251.0,3.92,9.83
300895,铜牛信息,65.86,1.51,420.63,23.51,112.181,0.061,1514757212.0,52.32,79.98
300898,熊猫乳品,61.0,5.72,465.86,45.16,116.881,1.23,1613842718.0,40.0,88.0
300712,永福股份,16.42,4.32,42.39,3.81,50.231,0.609,2990147680.0,9.2273,21.99
300141,和顺电气,15.38,9.16,130.86,27.93,-461.455,0.098,2546780644.0,5.4734,17.45
300826,测绘股份,43.52,4.09,90.21,14.29,43.985,0.0,870400000.0,27.46,55.88
300279,和晶科技,7.09,1.87,18.17,6.26,-1532.067,0.0,3116312062.0,4.65,9.36
300491,通合科技,22.22,19.98,70.79,10.91,199.888,0.0,2699594614.0,10.7,22.95
603041,美思德,15.63,2.49,28.27,2.19,20.632,1.005,2194226303.0,10.7236,17.39
605338,巴比食品,47.55,-1.76,273.82,13.95,81.3,None,2948100000.0,15.26,50.47
605058,澳弘电子,25.53,-4.27,40.04,15.66,30.306,None,912212430.0,25.21,34.95
003009,中天火箭,62.59,-9.99,383.69,20.26,86.156,None,2431502579.0,17.08,94.14
002970,锐明技术,60.62,4.41,-0.41,7.3,47.842,0.66,2618784000.0,22.6415,86.8918
605111,新洁能,122.7,-1.82,516.27,30.06,90.944,0.161,3104310000.0,28.67,131.77
603919,金徽酒,36.55,9.99,172.65,6.45,69.467,0.509,17957276004.0,8.9925,36.55
003015,日久光电,15.52,-9.98,136.23,20.15,44.215,0.0,1090538672.0,7.88,18.46
600573,惠泉啤酒,8.5,2.16,28.54,6.8,70.589,0.353,2125000000.0,5.3381,9.03
003013,地铁设计,19.21,-4.9,43.04,15.35,27.652,None,768592100.0,16.12,25.74
300891,惠云钛业,20.46,2.25,462.09,24.29,109.215,0.367,1940567001.0,16.21,26.01
300848,美瑞新材,53.67,1.42,90.45,8.67,39.661,0.0,894678900.0,33.82,71.87
300845,捷安高科,38.96,3.07,120.99,8.88,42.622,0.0,899586400.0,21.16,59.87
300100,双林股份,16.95,8.51,183.44,20.04,-9.804,0.0,6460283981.0,4.66,18.58
300589,江龙船艇,36.75,-2.73,186.21,19.68,225.746,0.0,3481328823.0,9.81,44.0
300849,锦盛新材,28.85,2.16,106.22,16.39,58.268,0.0,721250000.0,16.79,40.87
300561,汇金科技,22.94,-0.39,48.51,5.47,308.921,0.351,3084387308.0,12.1544,30.79
002724,海洋王,7.49,2.6,6.69,1.67,19.449,1.233,2494776877.0,5.5654,8.64
300444,双杰电气,7.42,1.23,48.7,18.35,-6.685,0.0,2604841426.0,3.68,9.5
000036,华联控股,4.07,-2.4,2.32,0.73,8.149,9.828,6021460930.0,3.1011,5.1
300385,雪浪环境,11.15,4.3,48.66,8.07,35.579,0.561,2509111561.0,5.6918,12.73
300556,丝路视觉,26.41,1.54,58.16,11.41,51.98,0.19,2275593194.0,13.857,30.43
300885,海昌新材,51.51,5.68,171.53,24.46,72.647,None,1030200000.0,39.18,80.0
300781,因赛集团,60.6,-4.57,87.73,44.96,143.973,0.33,1669323960.0,24.9255,65.1
600861,北京城乡,21.88,-3.61,157.37,2.54,-65.302,0.091,6931692284.0,8.1119,23.31
300899,上海凯鑫,70.58,1.99,188.91,22.88,79.589,0.181,1125751000.0,53.0,101.0
300176,派生科技,9.54,1.49,6.47,5.19,-21.622,0.0,3579310349.0,5.2,11.19
300411,金盾股份,14.08,2.7,90.53,12.25,-97.068,0.0,2093306111.0,6.78,16.84
002659,凯文教育,5.82,-2.51,-6.73,0.94,180.967,0.0,2901597445.0,5.08,8.08
