股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,26.26,-6.41,72.54,31.27,42.974,None,716856667.0,26.08,38.47
300479,神思电子,18.94,-2.62,19.58,8.16,249.212,0.158,3177412735.0,13.3733,21.94
300582,英飞特,31.82,19.98,169.46,41.14,53.463,0.185,4286065413.0,9.9383,31.82
300516,久之洋,43.05,-2.69,45.35,6.06,140.488,0.163,7749000000.0,25.2195,50.48
300593,新雷能,26.3,1.35,45.3,19.59,54.196,0.19,3083814548.0,13.0569,29.36
300466,赛摩智能,8.85,-2.1,51.02,13.09,-25.349,0.0,3333019829.0,3.92,9.83
300895,铜牛信息,73.4,1.45,480.24,36.02,125.024,0.055,1688174604.0,52.32,79.98
300898,熊猫乳品,72.45,-2.23,572.08,58.65,138.82,1.035,1916768933.0,40.0,88.0
300712,永福股份,18.26,-0.27,58.35,22.86,55.86,0.548,1433396195.0,9.2273,21.99
300141,和顺电气,15.93,8.44,139.12,35.06,-2975.71,0.095,2637855375.0,5.4734,17.45
300826,测绘股份,42.76,3.06,86.89,16.74,43.217,0.0,855200000.0,27.46,55.88
300279,和晶科技,7.68,-3.4,28.0,15.65,-1659.559,0.0,3375638454.0,4.65,9.36
300491,通合科技,19.78,-2.66,52.04,13.8,316.044,0.0,2403149480.0,10.7,22.95
603041,美思德,15.27,-0.84,25.32,2.1,20.157,1.029,2143687501.0,10.7236,17.39
605338,巴比食品,46.5,1.09,265.57,26.18,79.505,None,2883000000.0,15.26,49.14
605058,澳弘电子,27.35,-0.07,50.03,21.39,32.466,None,977242850.0,26.25,34.95
003009,中天火箭,77.02,-10.0,495.21,25.22,106.019,None,2992080662.0,17.08,94.14
002970,锐明技术,59.07,-0.02,-2.96,5.21,46.619,0.677,2551824000.0,22.6415,86.8918
605111,新洁能,130.77,9.17,556.81,75.95,96.925,0.151,3308481000.0,28.67,131.77
603919,金徽酒,30.18,9.99,125.13,5.6,57.36,0.617,14827649515.0,8.9925,30.36
003015,日久光电,15.25,10.03,132.12,0.21,47.122,0.0,1071566672.0,7.88,15.25
600573,惠泉啤酒,8.26,1.47,24.91,8.52,68.596,0.363,2065000000.0,5.3381,9.03
003013,地铁设计,22.02,-9.57,63.96,30.61,31.697,None,881020200.0,16.12,25.74
300891,惠云钛业,21.83,4.95,499.73,45.33,116.528,0.344,2070507216.0,16.21,26.01
300848,美瑞新材,57.99,3.57,105.78,23.53,42.853,0.0,966693300.0,33.82,71.87
300845,捷安高科,42.57,-1.62,141.46,20.59,46.571,0.0,982941300.0,21.16,59.87
300100,双林股份,15.93,0.38,166.39,17.52,-9.214,0.0,6071523529.0,4.66,18.58
300589,江龙船艇,41.17,11.88,220.64,40.4,252.897,0.0,3900035582.0,9.81,44.0
300849,锦盛新材,30.45,-4.22,117.66,36.59,61.5,0.0,761250000.0,16.79,40.87
300561,汇金科技,25.23,-3.18,63.34,13.58,488.018,0.319,3392288221.0,12.1544,30.79
002724,海洋王,7.69,0.65,9.53,2.56,19.969,1.201,2561393082.0,5.5654,8.64
300444,双杰电气,8.87,2.78,77.76,43.05,-7.992,0.0,3113873781.0,3.68,9.5
000036,华联控股,4.26,0.47,7.09,0.47,7.89,9.39,6302561072.0,3.1011,5.1
300385,雪浪环境,12.11,14.14,61.46,20.42,38.643,0.516,2725142691.0,5.6918,12.73
300556,丝路视觉,29.46,5.63,76.43,25.77,57.983,0.17,2538393620.0,13.857,30.43
300885,海昌新材,56.8,-3.47,199.42,45.53,80.108,None,1136000000.0,39.18,80.0
300781,因赛集团,60.2,3.81,86.49,51.46,143.023,0.332,1658305320.0,24.9255,63.99
600861,北京城乡,22.26,-3.13,161.84,1.96,-72.035,0.09,7052078165.0,8.1119,23.14
300899,上海凯鑫,83.57,-1.66,242.08,58.95,94.237,0.153,1332941500.0,53.0,101.0
300176,派生科技,10.62,12.5,18.53,11.91,-21.687,0.0,3984515294.0,5.2,11.19
300411,金盾股份,15.66,4.33,111.91,25.35,71.862,0.0,2328208359.0,6.78,16.84
002659,凯文教育,6.01,0.33,-3.69,1.38,129.937,0.0,2996323135.0,5.08,8.08
603333,尚纬股份,7.27,0.0,-28.35,None,68.855,0.825,3756886508.0,6.338,12.2
601163,三角轮胎,17.8,3.49,19.05,3.2,13.606,1.966,14240000000.0,12.2252,18.04
300882,万胜智能,42.05,6.78,307.07,37.17,72.022,None,1567879958.0,28.66,60.0
002417,深南股份,9.44,-1.05,35.83,9.8,95.054,0.0,2224043912.0,5.45,13.75
300555,路通视信,11.74,2.98,25.73,12.91,649.76,0.17,2041711219.0,7.1728,13.9665
300670,大烨智能,10.26,-3.57,22.43,17.82,67.369,0.0,1828332000.0,5.97,11.66
300588,熙菱信息,14.88,-2.68,48.61,12.89,-165.305,0.04,1561532868.0,7.9644,18.47
002109,兴化股份,3.57,1.42,6.28,1.77,30.067,0.56,3759012897.0,2.7331,3.8958
300851,交大思诺,48.55,-0.49,70.53,9.35,35.812,0.7,1055156570.0,34.1669,66.0216
601669,中国电建,4.02,0.75,-6.47,0.53,8.591,0.989,44800494191.0,3.3673,4.88
605008,长鸿高科,25.2,10.0,139.09,13.29,45.492,None,1159200000.0,12.65,25.2
600890,中房股份,7.34,-2.0,15.96,1.48,287.433,0.0,4251290750.0,5.28,10.4
002147,*ST新光,1.33,-2.21,-37.26,0.75,-0.417,0.0,714203354.0,1.25,2.55
603877,太平鸟,40.13,-0.2,175.36,0.83,29.208,1.752,19131086213.0,12.9128,43.74
603488,展鹏科技,9.98,-1.38,63.9,1.62,30.776,2.004,2914064591.0,5.0222,13.79
600145,*ST新亿,1.67,5.03,-41.4,0.35,133.867,0.0,2490137635.0,1.19,2.71
002086,*ST东洋,1.87,1.08,-49.46,1.72,-1.367,0.0,1023448148.0,1.59,4.15
300847,中船汉光,36.6,0.77,427.38,18.13,85.547,0.0,1805844000.0,8.33,41.3
000906,浙商中拓,7.22,1.26,27.59,1.28,11.163,3.464,4776114142.0,4.7651,7.82
300892,品渥食品,66.19,0.09,148.27,34.28,45.905,None,1569383235.0,54.01,82.0
600306,*ST商城,4.97,-4.97,-12.65,2.45,-6.942,0.0,881953815.0,3.82,6.56
002290,ST中科创,5.58,4.1,11.82,1.78,-1.709,0.0,1207925177.0,4.24,5.83
002163,海南发展,18.65,-0.11,236.04,2.47,157.528,0.0,14984781223.0,4.25,25.5
600238,ST椰岛,4.88,1.88,-17.57,0.42,-9.31,0.0,2171607710.0,3.94,7.14
002638,*ST勤上,1.46,-1.35,-60.43,1.61,-5.613,0.0,1429880028.0,1.36,3.88
600518,ST康美,3.41,0.89,-8.58,0.56,-2.749,0.0,15033963554.0,2.31,4.82
601777,*ST力帆,5.23,0.58,69.81,0.64,-1.086,0.0,6724871439.0,2.21,6.45
300062,中能电气,23.1,15.21,327.82,52.19,-2827.799,0.087,4480532018.0,4.3335,24.06
000408,*ST藏格,7.69,-0.39,4.2,0.79,50.458,0.0,3641108570.0,3.55,9.07
300445,康斯特,18.13,7.6,32.84,5.24,56.86,0.293,2116159218.0,11.2005,19.32
688198,佰仁医疗,105.99,1.92,151.86,2.06,141.543,None,2162196000.0,31.0,149.88
002366,台海核电,5.11,-2.11,-26.58,6.61,-6.519,0.0,2554088534.0,3.87,7.85
002210,*ST飞马,2.35,3.52,82.17,1.21,-0.309,0.0,3880125634.0,0.84,2.87
002716,*ST金贵,2.54,2.42,-11.5,2.52,-0.434,0.0,1874550462.0,1.21,3.26
000869,张裕A,34.85,4.28,23.87,1.26,30.139,2.009,15803108880.0,21.2528,42.27
603855,华荣股份,19.87,0.91,105.64,1.41,25.92,2.516,6578360900.0,8.0932,21.99
300514,友讯达,15.64,4.83,25.91,16.87,74.515,0.32,2391543680.0,9.9632,16.39
000017,*ST中华A,2.62,1.16,-42.04,1.04,-667.253,0.0,793810241.0,2.0,5.43
601238,广汽集团,11.9,0.59,3.77,0.86,30.33,1.513,72406294309.0,8.8552,12.508
002076,*ST雪莱,2.05,-0.49,-17.34,0.95,-3.424,0.0,1033648091.0,1.53,3.71
300038,数知科技,8.7,-1.25,1.2,3.07,35.43,0.287,10100563088.0,7.4299,11.6984
002706,良信股份,25.95,-2.26,215.26,0.82,60.185,0.964,15508637540.0,7.3003,28.58
600421,ST仰帆,11.2,1.27,37.25,0.21,322.694,0.0,2190720000.0,7.3,16.57
002428,云南锗业,13.98,1.38,64.28,3.18,-232.081,0.0,9007514515.0,6.76,19.5
600179,*ST安通,6.25,0.81,42.69,1.41,-2.035,0.0,4297746444.0,3.06,6.66
603992,松霖科技,17.97,0.06,-9.76,8.5,27.695,0.979,805056000.0,13.8658,26.07
