股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,东来技术,25.53,-2.78,67.74,22.09,41.779,None,696928816.0,25.06,38.47
300479,神思电子,18.38,-2.96,16.05,6.64,241.843,0.163,3083466001.0,13.3733,21.94
300582,英飞特,28.8,-9.49,143.89,42.5,48.389,0.205,3879279821.0,9.9383,31.82
300516,久之洋,43.49,1.02,46.83,5.6,141.923,0.161,7828200000.0,25.2195,50.48
300593,新雷能,25.11,-4.52,38.73,15.47,51.744,0.199,2944280734.0,13.0569,29.36
300466,赛摩智能,8.52,-3.73,45.39,12.28,-22.957,0.0,3208737733.0,3.92,9.83
300895,铜牛信息,68.18,-7.11,438.97,31.33,116.133,0.059,1568116410.0,52.32,79.98
300898,熊猫乳品,64.8,-10.56,501.11,52.44,124.162,1.157,1714377182.0,40.0,88.0
300712,永福股份,17.27,-5.42,49.76,16.64,52.831,0.579,1355681944.0,9.2273,21.99
300141,和顺电气,13.95,-12.43,109.4,27.32,-2605.848,0.108,2309986345.0,5.4734,17.45
300826,测绘股份,41.44,-3.09,81.12,15.22,41.883,0.0,828800000.0,27.46,55.88
300279,和晶科技,7.49,-2.47,24.83,10.56,-1618.502,0.0,3292126565.0,4.65,9.36
300491,通合科技,19.2,-2.93,47.58,9.31,172.72,0.0,2332683014.0,10.7,22.95
603041,美思德,15.06,-1.38,23.59,2.11,19.88,1.043,2114206534.0,10.7236,17.39
605338,巴比食品,47.6,2.37,274.21,18.29,81.385,None,2951200000.0,15.26,49.14
605058,澳弘电子,26.45,-3.29,45.09,15.57,31.398,None,945084950.0,26.25,34.95
003009,中天火箭,69.32,-10.0,435.7,2.81,95.419,None,2692950292.0,17.08,94.14
002970,锐明技术,58.0,-1.81,-4.71,6.65,45.774,0.69,2505600000.0,22.6415,86.8918
605111,新洁能,128.8,-1.51,546.91,37.05,95.465,0.154,3258640000.0,28.67,131.77
603919,金徽酒,33.2,10.01,147.66,5.1,63.1,0.561,16311397081.0,8.9925,33.2
003015,日久光电,16.78,10.03,155.4,0.27,51.85,0.0,1179074672.0,7.88,16.78
600573,惠泉啤酒,8.75,5.93,32.32,10.59,72.666,0.343,2187500000.0,5.3381,9.03
003013,地铁设计,20.34,-7.63,51.45,22.64,29.279,None,813803400.0,16.12,25.74
300891,惠云钛业,22.68,3.89,523.08,48.18,121.065,0.331,2151127057.0,16.21,26.01
300848,美瑞新材,54.29,-6.38,92.65,18.7,40.119,0.0,905014300.0,33.82,71.87
300845,捷安高科,40.38,-5.14,129.04,13.73,44.175,0.0,932374200.0,21.16,59.87
300100,双林股份,15.19,-4.65,154.01,14.16,-8.786,0.0,5789481633.0,4.66,18.58
300589,江龙船艇,37.1,-9.89,188.94,32.12,227.896,0.0,3514484336.0,9.81,44.0
300849,锦盛新材,30.16,-0.95,115.58,27.92,60.914,0.0,754000000.0,16.79,40.87
300561,汇金科技,24.91,-1.27,61.27,12.16,481.828,0.323,3349262766.0,12.1544,30.79
002724,海洋王,7.56,-1.69,7.68,1.74,19.631,1.221,2518092549.0,5.5654,8.64
300444,双杰电气,7.6,-14.32,52.3,34.08,-6.847,0.0,2668031650.0,3.68,9.5
000036,华联控股,4.21,-1.17,5.84,0.43,7.798,9.501,6228587350.0,3.1011,5.1
300385,雪浪环境,11.29,-6.77,50.53,13.52,36.026,0.554,2540616101.0,5.6918,12.73
300556,丝路视觉,27.63,-6.21,65.47,19.67,54.381,0.181,2380713365.0,13.857,30.43
300885,海昌新材,52.88,-6.9,178.76,33.4,74.579,None,1057600000.0,39.18,80.0
300781,因赛集团,59.03,-1.94,82.87,51.87,140.243,0.339,1626075798.0,24.9255,63.99
600861,北京城乡,22.79,2.38,168.07,1.91,-73.751,0.088,7219984788.0,8.1119,23.2
300899,上海凯鑫,80.32,-3.89,228.78,42.59,90.572,0.159,1281104000.0,53.0,101.0
300176,派生科技,10.26,-3.39,14.51,7.89,-20.952,0.0,3849446979.0,5.2,11.19
300411,金盾股份,14.6,-6.77,97.56,18.04,66.997,0.0,2170615711.0,6.78,16.84
002659,凯文教育,6.02,0.17,-3.53,1.17,130.153,0.0,3001308697.0,5.08,8.08
603333,尚纬股份,7.27,0.0,-28.35,None,68.855,0.825,3756886508.0,6.338,12.2
601163,三角轮胎,17.15,-3.65,14.7,2.42,13.109,2.041,13720000000.0,12.2252,18.04
300882,万胜智能,40.72,-3.16,294.19,27.76,69.744,None,1518289463.0,28.66,60.0
