股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SZ002529,*ST海源,1,1,1,1,3.05,786.12,7641.64,20.98
SH603677,奇精机械,69.6,69.6,69.6,69.6,33.58,32,42.06,24.57
SH600639,浦东金桥,13.2,8.7,9.8,4.8,13.13,46.69,218,8.69
SZ200168,*ST舜喆B,48.5,24,47.8,64,42.25,58.26,342.58,3.52
SH603217,元利科技,10.2,10.2,10.2,10.2,29.24,31.03,34.13,25.4
SH600482,中国动力,83,64.5,39.7,44.9,42.94,63.38,331.71,16.58
SH600704,物产中大,17.1,10.9,6.2,2.7,8.18,30.01,123.66,6.87
SZ002027,分众传媒,100,92,68.9,70.9,77.49,1380,66559.4,10.68
SZ000581,威孚高科,69.9,46.8,25.9,13.4,9.68,23.34,139.76,5.98
SZ000971,*ST高升,1,1,1,1,3.89,275.78,8575.9,19.16
SZ000030,富奥股份,95,64.5,52.1,35.5,15.09,54.45,908.11,1.38
SH601890,亚星锚链,0.6,20.9,39,39,62.28,235.66,1201.1,39.42
SH601333,广深铁路,1,1,1,1,13.11,25.25,97.45,10.91
SZ300154,瑞凌股份,95.8,67,77.6,77.6,44.08,33.53,78.75,14.76
SH603900,莱绅通灵,80.2,78.9,78.9,78.9,33.38,25.64,48.15,12.25
SH600628,新世界,1,1,1,1,150.68,40.59,338.6,9.1
SZ002320,海峡股份,56.2,62.2,67.5,66.9,52.39,52.09,128.88,21.18
SH600184,光电股份,46.8,31.2,33.2,33.5,98.65,180.74,1915.87,29.81
SH603088,宁波精达,7.7,5.1,4.8,4.8,26.61,83.73,240.18,25.17
SH601186,中国铁建,0.7,0.5,5.4,4.7,5.59,11.21,35.33,4.57
SZ002101,广东鸿图,1,1,1,1,32.7,30.09,139.15,10.58
SH600470,*ST六化,1,1,1,1,16.21,58.7,316.44,7.51
SZ002839,张家港行,11.6,11.6,11.6,11.6,10.76,12.31,20.13,9.63
SH603050,科林电气,49.5,49.5,49.5,49.5,23.82,24.12,38.91,18.81
SZ000868,ST安凯,19.7,2.2,0.7,0.3,17.54,128.17,2522.95,16.25
SZ002554,惠博普,1,1,1,1,19.92,47.67,105.84,24.23
SH603358,华达科技,80.3,80.3,80.3,80.3,35.12,27.07,46.25,13.05
SZ300534,陇神戎发,1,1,1,1,450.58,194.62,358.52,98.2
SZ300137,先河环保,36.2,24,14,14,16.29,50.45,132.17,12.39
SH600378,昊华科技,46.3,29,17.9,16.8,35.26,76.25,659.43,14.02
SZ300412,迦南科技,65.4,45.2,43.2,43.2,53.54,62.09,141.07,35.34
SZ200625,长安B,55.9,74,42.7,51.4,6.81,14.01,247.05,0.87
SZ002936,郑州银行,23,23,23,23,7.33,8.45,11.91,6.11
SH600157,*ST永泰,64.3,74.6,82.7,70.9,107.48,127.51,1341.01,8.19
SZ300732,设研院,68.1,68.1,68.1,68.1,14.37,13.54,26.15,9.94
SH603989,艾华集团,42.6,31.8,31.8,31.8,28.62,32.73,45.68,22.75
SH600284,浦东建设,73.8,46.5,36.5,26.9,15.78,22.95,61.9,11.52
SH600863,内蒙华电,25.7,17.2,24.3,11.8,13.92,125.9,7741.09,6.69
SH600006,东风汽车,67.9,40.5,42.2,62,28.89,38.13,272.38,9.53
SH600438,通威股份,91.7,84.1,66,56.6,35.23,36.75,139.1,9.14
SZ000898,鞍钢股份,94.1,93.1,63.7,67,19.22,22.05,246.82,3.43
SZ002280,*ST联络,1,1,1,1,1.04,82.72,320.5,26.67
SZ002948,青岛银行,1.7,1.7,1.7,1.7,9.24,9.88,11.18,9.22
SZ002177,御银股份,8,4.4,45.2,55.2,51.49,569.06,10492.2,13.07
SH603959,百利科技,1,1,1,1,11.01,42.07,73.96,22.39
SZ002681,*ST奋达,1,1,1,1,3.99,57.64,192.98,15.02
SH601633,长城汽车,99.9,99.9,100,100,62.46,16.65,63.2,7.9
SH600928,西安银行,32.8,32.8,32.8,32.8,8.66,8.94,10.52,8.13
SZ002502,*ST鼎龙,1,1,1,1,3.06,73.12,317.87,16.03
SZ000663,*ST永林,1,1,1,1,5.13,141.85,781.23,15.64
SH600135,乐凯胶片,69.9,44.6,36.7,63.7,96.83,191.16,2219.88,15.72
SH601579,会稽山,77.3,50.9,46,46,29.21,36.18,77.01,22.35
SZ300420,五洋停车,61.3,44,44,44,38.16,59.67,314.27,22.7
SZ300716,国立科技,1,1,1,1,29.79,36.37,61.14,23.77
SZ300686,智动力,15.9,15.9,15.9,15.9,37.92,65.5,158.83,31.73
SZ002057,中钢天源,38.8,25.5,15.9,12.4,27.3,103.88,353.5,13.92
SZ002648,卫星石化,98.9,93.5,76.5,76.5,22.29,18.33,34.25,10.83
SZ300580,贝斯特,99.4,99.4,99.4,99.4,33.82,21.71,37.02,15.78
SH603360,百傲化学,21,21,21,21,15.86,24.22,47.6,12.84
SZ002064,华峰氨纶,9.6,7.6,4.3,10.4,14.23,42.41,422.14,4.89
