股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SZ000909,数源科技,84.7,56.8,68.5,42.5,109.44,231.09,1903.48,19.04
SH600719,大连热电,90.2,89.8,93.4,97.6,491.92,123.18,1023.88,19.54
SH601997,贵阳银行,22.1,19.3,19.3,19.3,4.38,5.94,10.05,3.81
SZ000862,银星能源,1.6,11.9,33.3,47,79.53,142.31,1134.9,23.55
SH603192,汇得科技,97.1,97.1,97.1,97.1,27.3,23.85,29.12,19.15
SZ300052,中青宝,80,63.3,41.4,41.4,185.51,107.44,531.5,31.44
SH600671,*ST目药,19.2,15.7,10.6,3.3,26.19,406.89,4331.06,15.26
SH600593,大连圣亚,1,1,1,1,57.91,120.39,618.34,29.16
SH601989,中国重工,1,1,1,1,162.78,165.68,1618.15,14.44
SZ000833,粤桂股份,95.6,97.1,98,99,1145.76,115.3,1284.94,15.08
SH600236,桂冠电力,85.2,81.2,61.9,32.5,18.68,34.39,414.8,8.76
SH600896,览海医疗,1,1,1,1,22.02,90.49,3767.48,6.31
SZ002825,纳尔股份,0.8,0.8,0.8,0.8,30.23,44.93,79.9,28.79
SZ300545,联得装备,64.9,60.6,60.6,60.6,57.96,56.43,130.95,27.61
SZ002780,三夫户外,1,1,1,1,71.75,365.07,790.06,72.22
SZ002336,ST人乐,1,1,1,1,11.76,143.76,608.68,22.97
SZ300174,元力股份,45.8,30.6,34.9,34.9,69.9,124.75,451.96,23.09
SH603076,乐惠国际,99.7,99.7,99.7,99.7,1328.16,47.31,1411.79,22.77
SH601658,邮储银行,35.4,35.4,35.4,35.4,6.99,7.17,7.55,6.79
SZ200054,建车B,1,1,1,1,4.07,44.17,226.75,1.69
SZ002508,老板电器,88.8,59.9,51.5,51.5,24.6,24.15,39.91,11.85
SH601179,中国西电,84.2,89.4,88.1,88.1,68.64,44.6,182.14,20.08
SZ300509,新美星,91,92.1,92.1,92.1,71.89,45.44,92.58,24.27
SZ200025,特力B,7.5,5,3.1,16.4,8.38,132.22,3031.93,0.28
SH603355,莱克电气,80.8,58.3,58.3,58.3,29.84,29.16,49.84,16.59
SH601869,长飞光纤,77.4,77.4,77.4,77.4,34.91,28.4,48.6,17.52
SH603366,日出东方,1.6,42,55.5,55.5,38.88,49.23,255.63,13.23
SH601811,新华文轩,0.6,0.5,0.5,0.5,10.83,16.55,41.77,10.75
SZ000665,湖北广电,1,1,1,1,40.73,94.84,2343.24,12.91
SH603179,新泉股份,91.5,91.5,91.5,91.5,47.82,23.06,56.25,10.29
SZ002927,泰永长征,12.3,12.3,12.3,12.3,38.76,43.12,54.57,33.67
SH600642,申能股份,20.8,27.7,28.5,17.8,12.36,19.64,69.59,7.52
SZ002808,恒久科技,88.4,89.8,89.8,89.8,125.67,90.66,171.22,50.82
SZ300758,七彩化学,49.2,49.2,49.2,49.2,33.89,33.51,54.09,22.88
SH603056,德邦股份,37,37,37,37,27.12,31.56,51.59,20.28
SH600649,城投控股,89.5,93.1,96.1,83,37.23,26.25,79.68,7.55
SH601766,中国中车,11.2,7.4,11.5,10.2,14.93,25.89,160.33,12.29
SH600366,宁波韵升,57.7,69.3,77.7,74.5,44.46,37.37,158.4,9.05
SH603081,大丰实业,17.8,17.8,17.8,17.8,19.04,22.63,49,15.43
SH600350,山东高速,82.5,88.1,83.2,49.1,12.77,15.11,38.5,5.26
SZ002902,铭普光磁,80.5,80.5,80.5,80.5,303.95,430.91,4043.94,44.25
SH601200,上海环境,24.3,24.3,24.3,24.3,18.07,19.69,28.11,15.96
SH600066,宇通客车,99.9,99.9,100,99,52.15,18.64,60.8,6.16
SH601298,青岛港,69.7,69.7,69.7,69.7,10.37,10.19,12.4,9.35
SH600823,世茂股份,91.9,94.4,82,46.6,11.47,55.56,1370.12,5.4
SZ002756,永兴材料,95.8,69,69,69,30.74,23.54,47.06,10.11
SH600057,厦门象屿,49.7,29.6,17.2,22.2,10.63,35.59,212.12,5.59
SZ000605,渤海股份,72.3,48.3,33.4,30.7,71.22,412.26,6224.19,14.42
SH600299,安迪苏,49.8,66.2,50.5,47.2,28.94,44.95,1138.94,4.24
SZ300608,思特奇,92.9,92.9,92.9,92.9,42.87,31.58,52.05,23.6
SH600874,创业环保,3.7,2.5,1.4,5.2,17.61,207.74,7742.68,10.53
SZ300802,矩子科技,38.3,38.3,38.3,38.3,81.56,82.44,94.71,51.48
SZ300230,永利股份,99.6,66.3,60,60,26.84,29.74,97.23,7.73
SZ001965,招商公路,98.8,98.8,98.8,98.8,24.35,14.41,24.56,9.9
SH601126,四方股份,91.7,90.3,82.7,82.7,30.06,25.25,64.84,14.97
SH601006,大秦铁路,84.9,68.4,56.1,42.5,9.18,14.06,69.54,6.79
SZ002598,山东章鼓,27.7,18.5,19.3,19.3,23.85,37.08,83.14,16.62
SH603519,立霸股份,85,60.6,60.6,60.6,33.53,36.6,87,15.53
SH600120,浙江东方,48.4,45.1,53.3,35.3,18.61,29.04,79.2,8.4
SZ002941,新疆交建,1.4,1.4,1.4,1.4,30.13,105.53,204.66,29.59
SH603032,德新交运,1,1,1,1,3978.86,256.41,794.11,10.14
SH600271,航天信息,54.1,58.8,71.2,69.8,31.31,27.89,78.3,9.03
SH600694,大商股份,71.5,48.3,48.8,22.6,12.52,67.99,2996.46,6.16
SZ002444,巨星科技,92.3,62,61.5,61.5,24.42,23.53,56.75,11.2
SH600619,海立股份,93.6,63.6,51.8,56.3,38.23,86.82,1837.16,6.5
SH600460,士兰微,99.9,96.8,98.4,98.9,2460.39,6793.94,661425,18.23
SZ000099,中信海直,30.6,20.3,12.8,11.4,23.23,40.28,96.97,16.06
SH601229,上海银行,24.4,22.3,22.3,22.3,5.89,7.07,11.23,5.58
SZ000989,九芝堂,58.3,58.3,66.4,62.6,31.22,32.98,164.7,7.74
SZ000553,安道麦A,1,1,1,1,173.81,86.37,738.94,6.11
SZ002871,伟隆股份,65.5,65.5,65.5,65.5,37.72,36.49,55.95,26.83
SZ000628,高新发展,0.3,0.2,0.1,0.1,15.82,207.57,2235.26,15.62
SZ002398,垒知集团,52,34.7,25.9,25.9,15.74,21.94,63.24,9.92
SZ300160,秀强股份,99.6,66.2,68.8,68.8,60.74,53.66,159.11,15.64
SH603393,新天然气,30.6,28.5,28.5,28.5,18.16,21.07,38.57,11.88
SZ002672,东江环保,62.2,41.5,28.8,28.8,24.52,34.58,98.4,16.62
SH600562,国睿科技,22.9,42.4,32.7,50,84.51,157.79,2006.29,18.84
SH603496,恒为科技,100,100,100,100,1678.35,81.61,1678.35,28.11
SH600107,美尔雅,1,1,1,1,79.01,402.85,7266.26,23.68
SZ002791,坚朗五金,93.1,93.9,93.9,93.9,81.02,38.87,119.48,18.36
SZ002497,雅化集团,89.9,93.3,96.1,96.1,145.58,50.32,232.42,17.13
SZ300680,隆盛科技,62.6,62.6,62.6,62.6,128.21,134.04,280.26,54.82
SZ002227,奥特迅,1,1,1,1,3277.87,294.5,1879.72,47.71
SH600036,招商银行,97.2,98.3,97.6,59.1,11.64,15.42,64.29,4.55
SZ300134,大富科技,1,1,1,1,25.84,145.77,825.24,12.3
SZ002849,威星智能,26.7,26.7,26.7,26.7,27.26,29.94,53.61,22.2
SH603079,圣达生物,0.3,0.3,0.3,0.3,21.48,76.52,183.66,21.34
SH600362,江西铜业,79.3,55.6,70.5,69.3,28.89,37.67,389.04,4.64
SZ002789,建艺集团,99.8,99.8,99.8,99.8,1413.51,127.03,1424.05,17.1
SZ002179,中航光电,97.4,98.2,89.4,90.1,49.6,38.18,84.95,11.47
SH603158,腾龙股份,79.7,61.2,61.2,61.2,34.61,36.66,65.01,25.44
SZ002460,赣锋锂业,84.5,89.6,93.9,93.9,278.53,98.67,798.76,16.26
SH600150,中国船舶,56.5,40,54,75.9,163.77,132.99,1760.49,4.54
SH600729,重庆百货,25,16.8,24.9,11.5,12.76,28.03,94.51,8.55
SZ002230,科大讯飞,10.1,32.5,50,55.9,101.71,104.64,263.89,44.77
SZ300669,沪宁股份,95.6,95.6,95.6,95.6,75.42,52.32,82.08,37.33
SZ002415,海康威视,84.5,85.1,82.8,82.8,35.78,29.29,46.85,17.2
SZ000966,长源电力,70.9,71.9,75.7,42.8,13.42,54.03,2063.08,4.2
SH600282,南钢股份,82.1,68,47.3,36.8,8.51,19.2,116.77,3.22
SZ200512,闽灿坤B,18,11.5,6.6,30.8,5.82,19.34,122.94,0.88
SZ000816,ST慧业,1,1,1,1,5.97,92.77,592.47,17.57
SH601615,明阳智能,80.3,80.3,80.3,80.3,26.05,24.04,30.58,20.19
SH603278,大业股份,84.8,84.8,84.8,84.8,25.47,19.94,39.48,12.8
SH600193,ST创兴,86.9,89.2,91.1,85.6,98.29,79.66,601.48,6.74
SH600500,中化国际,1,1,1,1,236.98,31.04,103.43,5.56
SH600255,*ST梦舟,1,1,1,1,2.43,175.49,1071.51,16.2
SZ002060,粤水电,3.9,2.6,1.4,1,14.58,34.05,100.03,13.57
SH600675,中华企业,62.6,66,71.9,48.9,21.25,26.05,71.28,5.68
SH603169,兰石重装,1,1,1,1,65.96,704.05,1889.72,11.28
SH600068,葛洲坝,69.3,41.3,20.6,9.3,6.86,30.13,339.06,5.03
SZ000031,大悦城,92.4,62.2,58.8,27.8,19.81,65.46,893.8,5.95
SZ000065,北方国际,17,11,5.9,3.1,9.43,53.4,297.44,8.3
SH600290,*ST华仪,1,1,1,1,0.52,127.75,2468.46,15.03
SZ300645,正元智慧,80.9,80.9,80.9,80.9,57.49,48.44,92.31,31.21
SH600795,国电电力,97,98.1,99,99.4,183.15,27.62,194.01,5.05
SH603829,洛凯股份,47.2,47.2,47.2,47.2,32.82,33.84,48.49,24.64
SH900952,锦港B股,25.9,17.3,10,34.7,17.98,29.11,167.96,0.13
SH603789,星光农机,1,1,1,1,41.08,128.57,175.01,79.67
SZ300501,海顺新材,78.5,66.4,66.4,66.4,37.16,36.14,85.03,21.76
SH600017,日照港,11.5,6.9,19,14,12.94,29.08,80.8,8.1
SH600821,*ST劝业,1,1,1,1,90,294.43,1673.43,17.76
SH900911,金桥B股,10.7,7.1,6.7,36.3,6.27,13.18,133.38,0.32
SH600280,*ST中商,1,1,1,1,4.18,68.8,586.21,8.81
SZ300310,宜通世纪,58.7,80.3,88.2,88.2,231.1,117.47,316.34,17.07
SZ300190,维尔利,2.2,1.4,0.9,0.9,16.54,50.08,144.33,15.84
SH600851,海欣股份,26.3,25.6,18.9,50.2,68.91,686.36,33450.2,11.91
SZ000598,兴蓉环境,10.8,7.2,7.8,4,12.6,201.87,20650.3,11.1
SZ002723,金莱特,37.2,34.1,41.5,41.5,113.85,261.24,1237.03,50.94
SZ200570,苏常柴B,22.9,15.2,18,52.7,21.11,20.98,64.44,0.87
SZ002631,德尔未来,94.2,96.1,97.5,97.5,200.06,70.11,226.56,17.96
SZ002957,科瑞技术,8.2,8.2,8.2,8.2,32,42.23,56.08,30.98
SH600361,华联综超,19.3,16.9,9,18.7,26.01,49.84,129.41,12.13
SH600408,ST安泰,48.9,42.8,34.1,16.4,4.8,51.58,1403.34,2.64
SH600740,山西焦化,61.4,53.4,40.7,26.8,22.29,57.22,349.01,6.03
SZ000572,ST海马,30.9,45.2,70.2,59.4,50.44,198.58,3035.32,7.44
SZ300144,宋城演艺,99.9,99.9,100,100,215.89,40.35,217.95,21.17
SZ000060,中金岭南,46.3,31.1,18,20.3,18.19,44.2,304.95,5.44
SZ002668,奥马电器,1,1,1,1,89.5,30.3,103.55,9.94
SH601398,工商银行,20,36.2,41.4,31.2,6.03,9.65,48.68,4.39
SZ002381,双箭股份,1.5,1,0.6,0.6,13.37,33.06,88.15,12.88
SH600888,新疆众和,18.1,13.1,18.1,20.2,25.2,66.85,532.6,11.53
SH601000,唐山港,15.1,10.1,9,9,7.83,12.98,34.27,6.64
SZ001979,招商蛇口,16.7,12.6,12.6,12.6,8.77,13.14,28.15,7.91
SH600968,海油发展,77,77,77,77,21.55,19.99,23.46,17.48
SH601916,浙商银行,36.2,36.2,36.2,36.2,7.01,7.12,7.55,6.58
SH600073,上海梅林,6.7,4,4,2.9,20.96,249.11,2492.26,17.4
SH601939,建设银行,29.7,42.2,48.2,40.1,6.39,7.49,27.21,4.37
SZ200539,粤电力B,0.2,10.2,20.5,44,6.84,24.99,770.68,0.84
SZ002102,ST冠福,67.4,37.1,22.2,16.4,14.17,189.32,2178.95,6.57
SZ002480,新筑股份,1,1,1,1,25.83,262.3,2207.16,15.77
SZ000882,华联股份,1,1,1,1,45.35,117.57,677.77,19.83
SH600325,华发股份,0.9,0.6,0.4,0.2,4.73,16.63,104.19,4.61
SZ002470,*ST金正,1,1,1,1,14.96,46.05,898.42,15.98
SZ002176,*ST江特,1,1,1,1,1.63,127.56,605.63,14.52
SZ300431,暴风退,1,1,1,1,0.06,132.24,255.58,59.66
SZ002052,*ST同洲,1,1,1,1,5.25,59.57,217.75,11.06
SZ000008,神州高铁,100,86.2,67,55,170.4,513.55,3957.54,8.36
SZ300307,慈星股份,1,1,1,1,5.96,113.67,2673.02,14.59
SH603013,亚普股份,52.4,52.4,52.4,52.4,19.87,20.49,33.7,16
SH601992,金隅集团,63.6,42.3,53.8,53.8,12.17,14.21,36.09,7.02
SZ000539,粤电力A,0.5,23.5,33.3,26.5,14.13,61.2,2064.36,5.46
SH600578,京能电力,3.1,25.1,37.4,22.2,13.19,23.22,64.43,5.01
SZ300721,怡达股份,1,1,1,1,305.16,82.43,243.18,27.28
SZ200869,张裕B,46.1,30.6,22.8,42.5,9.88,14.48,62.58,1.7
SH600805,悦达投资,1,1,1,1,9.33,53.39,405.16,5.77
SZ002244,滨江集团,23.6,15.5,19.8,17.2,9.27,16.48,73.8,3.95
SH600717,天津港,66.2,77.5,81.4,45.5,20.54,25.79,89.55,8.28
SZ002512,达华智能,1,1,1,1,26.03,100.21,248.2,40.71
SH600970,中材国际,52.8,34.6,21.8,15,7.99,39.2,417.42,6
SZ200413,东旭B,1,1,1,1,2.26,81.66,1893.42,2.21
SZ002504,弘高创意,1,1,1,1,10.65,67.87,478.15,17.6
SZ002277,友阿股份,93.1,91.9,92.7,90.6,38.82,22.88,48.57,7.45
SZ002319,*ST乐通,1,1,1,1,4.95,993.13,18437.5,42.54
SZ000980,*ST众泰,1,1,1,1,0.28,77.6,1593.81,6.76
SZ002200,ST云投,1,1,1,1,9.54,184.69,1265.96,25.95
SH600010,包钢股份,1,1,1,1,181.13,90.95,1156.41,2.36
SH600939,重庆建工,91.2,91.2,91.2,91.2,29.59,22.29,45.95,12.12
SH603963,大理药业,93,93,93,93,1028.77,255.52,1233.07,87.06
SH600790,轻纺城,45.6,29.9,16.5,8.7,12.47,130.83,6059.63,9.56
SZ002356,*ST赫美,1,1,1,1,0.35,87.52,321.05,23.77
SH603693,江苏新能,1.9,1.9,1.9,1.9,17.75,24.58,33.04,16.9
SZ000809,铁岭新城,1,1,1,1,16.54,160.21,2312.26,5.79
SH600165,新日恒力,1,1,1,1,182.55,177.3,1397.05,24.64
SH600452,涪陵电力,79.2,52.7,36.6,23.5,21.25,55,2998.3,10.17
SZ000573,粤宏远A,92.1,93.4,96.6,82.8,197.27,280.1,6900.41,7.09
SH600021,上海电力,42,34.3,39,30.8,17.25,44.09,616.47,5.92
SH603599,广信股份,70.6,50.2,50.2,50.2,16.87,23.32,59.24,11.24
SH601860,紫金银行,14.7,14.7,14.7,14.7,10.23,10.89,13.35,10.01
SH600579,克劳斯,1,1,1,1,11.96,114.28,688.81,6.95
SH600808,马钢股份,95.6,96.2,66.2,58.9,26.03,99.72,2247.42,3.69
SH600084,ST中葡,1,1,1,1,106.5,183.06,909.39,17.59
SZ000926,福星股份,84.4,56,61.6,40.4,12.27,19.67,78.57,5.37
SH600169,太原重工,1,1,1,1,4.48,111.23,1093.03,10.52
SZ000069,华侨城A,22.3,14.8,8,3.8,4.95,29.66,167.89,3.98
SZ000595,*ST宝实,1,1,1,1,7.14,253.8,2447.35,17.67
SH600917,重庆燃气,21.2,14,13.5,13.5,30.05,37.52,82.77,25.77
SZ000709,河钢股份,52.8,34.2,20.1,25.8,11.63,24.31,292.61,4.04
SH601588,北辰实业,86.1,56.3,40,30.1,15.09,32.7,171.36,5.39
SH600243,*ST海华,1,1,1,1,3.01,147.69,930.64,18.45
SH600317,营口港,31.9,21.8,20.9,17.6,15.01,29.21,94.14,10.81
SZ002110,三钢闽光,78.3,62,38,36.1,5.96,23.58,152.05,2.51
SZ300296,利亚德,99.5,99.7,99.2,99.2,83.37,41.03,95.53,9.98
SZ300288,朗玛信息,92.5,69.2,59.9,59.9,100.5,136.56,933.6,35.99
SH601608,中信重工,0.6,0.5,27.7,27.7,82.62,127.73,509.1,10.97
SZ000709,河钢股份,52.8,34.2,20.1,25.8,11.63,24.31,292.61,4.04
SH601882,海天精工,86.5,80.5,80.5,80.5,66.83,57.96,232.8,33.41
SH600698,ST天雁,2.2,1.2,53.7,54.6,165.75,387.85,3602.9,10.31
SH601106,中国一重,17.5,17.5,44.4,44.4,147.97,205.66,2000.55,35.36
SH600759,洲际油气,1,1,1,1,24.88,200.44,1541.55,6.75
SH600711,盛屯矿业,51.2,37.7,21.5,24.2,36.47,299.56,3721.1,8.79
SZ000557,西部创业,0.6,0.5,7.2,10.2,28.98,611.76,16173.2,8.29
SH600058,五矿发展,0.9,0.8,0.3,23.9,25.21,64.91,633.43,3.89
SZ000903,云内动力,78.9,85.9,87.1,93.5,56.55,30.78,100.46,10.55
SZ002535,*ST林重,1,1,1,1,0.59,78.88,448.9,10.87
SH601019,山东出版,62.6,62.6,62.6,62.6,10.5,10.32,15.8,8.43
SH600652,ST游久,56.7,43,44.5,51.9,73.43,107.06,1086.79,9.1
SH600651,*ST飞乐,1,1,1,1,15.14,85.6,372.97,13.78
SH600469,风神股份,82.4,52,63.3,51.8,19.05,28.03,229.98,9.01
SH600687,*ST刚泰,1,1,1,1,0.46,262.01,8707.7,11.44
SH600115,东方航空,1,1,1,1,10.38,59.01,1056.62,6.74
SZ002310,东方园林,45.1,27.5,13.9,13.3,13.24,60.24,443.09,7.01
SH601933,永辉超市,9.3,6.2,23,23,37.39,45.11,73.15,25.37
SZ300618,寒锐钴业,64.4,64.4,64.4,64.4,96.74,109.08,1010.1,13.89
SZ300679,电连技术,51.8,51.8,51.8,51.8,49.36,44.61,81.51,15.23
SZ300808,久量股份,96.1,96.1,96.1,96.1,96.7,61.54,104.99,52.26
SZ002595,豪迈科技,51.2,34.1,27.9,27.9,19.89,22.95,48.46,14.93
SZ002389,航天彩虹,86.9,69.3,64.6,64.6,101.51,87.12,299.96,30.18
SH601698,中国卫通,22.4,22.4,22.4,22.4,165.76,185.36,238.04,141.48
SZ002028,思源电气,0.6,0.4,9.9,10.9,16.81,26.62,67.54,9.54
SZ300286,安科瑞,99.1,74.3,58.8,58.8,36.17,36.98,101.69,16.59
SZ200581,苏威孚B,7.1,4.7,3.1,30,4.43,11.48,89.89,1.17
SH603458,勘设股份,0.6,0.6,0.6,0.6,7.77,11.54,22.44,7.61
SH600352,浙江龙盛,57.1,37.6,23.8,16.6,10.37,16.76,43.01,5.74
SH600182,S佳通,78.7,82.1,90,79.5,76.8,1146.73,85309.4,11.37
SH600167,联美控股,39,30.6,26,19.9,17.28,159.89,4095.4,9.28
SZ300807,天迈科技,98.3,98.3,98.3,98.3,66.31,45.98,69.42,33.58
SH600062,华润双鹤,26.1,15.6,13.5,6.5,13.24,32.65,276.85,10.92
SZ002674,兴业科技,91.4,69.1,78.3,78.3,71.29,73.8,686.52,14.1
SZ002782,可立克,12.3,9.8,9.8,9.8,49.52,97.91,248.18,39.8
SZ000504,ST生物,3.4,2.2,0.9,34.7,116.36,562.58,7321.48,34.38
SZ002156,通富微电,63.3,77.5,82.5,86.1,148.71,110.25,1524.9,16.63
SH600585,海螺水泥,53.3,35.7,30.9,22,8.41,17.15,78.71,4.35
SZ002855,捷荣技术,59.5,59.5,59.5,59.5,82.44,72.91,113.47,38.29
SH603331,百达精工,80.4,80.4,80.4,80.4,34.28,30.77,44.05,24.52
SZ300493,润欣科技,45.1,49.5,49.5,49.5,137.61,186.26,611.14,50.87
SH603995,甬金股份,48.1,48.1,48.1,48.1,18.09,19.35,26.32,14.53
SZ300124,汇川技术,99.8,99.9,99.9,99.9,102.95,43.98,103.76,21.1
SZ300698,万马科技,1,1,1,1,285.95,695.29,1527.74,129.5
SZ000666,经纬纺机,76.3,48.9,50.4,39.1,16.96,27.94,344.84,7.08
SH601211,国泰君安,10.6,24.9,24.9,24.9,15.07,17.54,27.44,8.45
SH600343,航天动力,1,1,1,1,54.68,175.36,553.02,24.07
SZ000881,中广核技,53.6,41.6,63,48.2,29.47,582.52,40134.2,5.17
SH601900,南方传媒,81.3,70.6,70.6,70.6,14.71,14.26,28.28,9.14
SZ300613,富瀚微,68.9,68.9,68.9,68.9,105.74,126.38,445.17,42.9
SH600171,上海贝岭,37.6,27.7,18.4,17.6,60.89,131.27,666.03,33.74
SH600505,西昌电力,92.4,95.1,97.4,98.4,387.95,57.34,506.4,11.16
SH600483,福能股份,63.5,43.1,24,17.1,12.76,66.07,522.28,9.23
SZ000736,中交地产,85.7,55.3,29.2,15.5,7.7,205.69,9212.43,3.2
SH600697,欧亚集团,98.5,98.7,84.7,46.6,21.99,26.3,92.52,8.76
SZ300446,ST乐凯,99.4,99.6,99.6,99.6,269.66,34.33,317.15,15.29
SZ002795,永和智控,84,72.1,72.1,72.1,58.07,50.89,135.95,28.49
SZ300364,中文在线,1,1,1,1,15.8,199.82,481.49,33.95
SZ002522,浙江众成,0.2,0.1,29.1,29.1,53.49,116.55,750.21,23.6
SZ300095,华伍股份,12,6.6,16.1,16.1,35.92,58.12,144.39,20.35
SH600168,武汉控股,86.1,78.2,54.9,28.1,23.43,37.1,110.46,11.61
SH603926,铁流股份,22.7,22.7,22.7,22.7,17.04,20.48,31.1,13.73
SH603817,海峡环保,12.3,12.3,12.3,12.3,20.93,27,48.33,19.18
SZ000601,韶能股份,100,90.5,69.3,57.9,27.72,32.73,155.7,10.88
SZ002033,丽江股份,90.5,93.7,83.4,80.9,41.96,41.74,382.18,13.67
SZ002300,太阳电缆,0.3,1.9,11.3,11,19.14,28.52,69.04,15.88
SH600126,杭钢股份,77.7,75,73.4,82.7,24.23,20.47,874.61,4.59
SH600232,金鹰股份,0.3,0.2,0.2,30.7,46.43,92.08,526.64,6.8
SH603696,安记食品,55.5,37.9,37.9,37.9,62.15,80.93,139.21,32.69
SH601958,金钼股份,76.2,59.9,53,54.4,79.72,141.14,1378.73,14.29
SH600901,江苏租赁,5.3,5.3,5.3,5.3,9.64,11.46,15.14,9.21
SH600455,博通股份,0.2,0.2,21.9,18.8,70.51,363.44,3315.19,18.21
SH600094,大名城,59.9,49.7,41.1,38.7,21.13,38.51,280.99,6.77
SH600080,ST金花,97.6,95.8,96.1,97,151.89,69.02,213.52,11.31
SZ300025,华星创业,1,1,1,1,9.92,84.02,618.25,25.05
SH600825,新华传媒,83.3,88.8,93.6,97,448.61,124.31,686.69,18.87
SZ002492,恒基达鑫,0.8,0.5,16.5,16.5,28.35,51.99,167.19,20.53
SZ002679,福建金森,100,100,100,100,21774.23,822.08,21774.2,24.3
SZ000600,建投能源,25.4,40.3,47.8,24.1,13.48,80.93,929.78,6.2
SZ002912,中新赛克,3.5,3.5,3.5,3.5,41.5,55.77,90.55,38.47
SZ000559,万向钱潮,99.8,96.7,93.3,93.2,51.04,31.74,97.17,10.83
SZ000639,西王食品,1,1,1,1,7.24,89.17,1144.27,8.79
SZ002088,鲁阳节能,47.6,31.6,17.2,13.6,12.6,29.77,75.84,9.42
SZ000401,冀东水泥,15.9,13.6,6.7,2.6,9.08,48.38,984.47,7.22
SZ002958,青农商行,35.7,35.7,35.7,35.7,9.09,9.89,14.17,8.11
SZ000652,泰达股份,60.8,43.6,28.8,13.1,21.61,70.61,8203.23,11.73
SZ000933,神火股份,1,1,1,1,14.9,163.37,5093.37,3.04
SZ002466,天齐锂业,1,1,1,1,4.89,119.25,1640.9,12.69
SH603059,倍加洁,81.7,81.7,81.7,81.7,30.17,26.13,38.38,21.78
SH603188,ST亚邦,1,1,1,1,6.95,20,94.44,11.04
SZ002284,亚太股份,1,1,1,1,68.62,51.41,498.11,18.03
SH601801,皖新传媒,62.3,41.5,24,24,16.98,22.92,51.41,9.99
SH603225,新凤鸣,99.9,99.9,99.9,99.9,28.12,12.2,28.2,6.85
SH600712,南宁百货,1,1,1,1,53.06,174.96,2309.88,18.49
SH603716,塞力斯,100,94.1,94.1,94.1,64.13,42.82,93.75,25.9
SZ002478,常宝股份,33.3,22.1,12.9,12.9,9.41,21.5,62.73,7.55
SZ000678,襄阳轴承,1,1,1,1,115.62,133.72,1229.15,18.75
SH900943,开开B股,86.3,57.5,62.9,76.6,53.9,74.39,3138.03,0.23
SH601727,上海电气,6.6,4.4,19.5,18.2,21.18,34.73,126.42,13.78
SZ000498,山东路桥,28.4,18.9,13.3,8.1,7.87,74.27,1190.09,6.53
SH600348,阳泉煤业,81.7,57.1,28.1,22.4,9.79,30.07,656.97,4.83
SH600800,天津磁卡,98.7,99.1,93.6,96.3,478.48,115.42,1240,13.64
SH603323,苏农银行,5.3,5,5,5,8.93,12.55,25.64,8.51
SZ000899,赣能股份,42.1,51.9,61,25.8,19.85,51.47,301.3,7
SZ002860,星帅尔,11.7,11.7,11.7,11.7,19.85,23.03,35.44,17.49
SZ300711,广哈通信,43.2,43.2,43.2,43.2,114.71,143.58,278.69,48.27
SH600655,豫园股份,29.7,19.7,14.8,7.8,9.96,29.84,95.83,6.86
SH603036,如通股份,4.2,4.1,4.1,4.1,28.05,60.39,138.87,26.73
SH600836,*ST界龙,1.9,1.1,0.4,0.2,16.01,421.26,6832.77,15.51
SZ000785,居然之家,42.8,34,17.1,8.3,15.74,113.83,1696.05,3.76
SZ000739,普洛药业,67.8,57.5,48.4,43.5,33.13,70.72,613.79,10.91
SH600629,华建集团,8.9,5.8,3.4,2.3,14.82,146.6,3567.95,13.59
SH603328,依顿电子,82.7,54.7,49.8,49.8,22.04,23,56.78,13.41
SH603580,艾艾精工,67.4,67.4,67.4,67.4,49.93,49.06,78.23,36.38
SH600202,哈空调,58.4,57.7,26,43.6,37.88,88.5,1197.36,6.54
SH600626,申达股份,1,1,1,1,8.34,32.61,277.66,9.71
SH603566,普莱柯,52.2,60,60,60,50.69,46.97,69.92,26.85
SH601128,常熟银行,23.6,21.9,21.9,21.9,10.48,12.87,29.37,8.86
SH600583,海油工程,0.3,31.6,43.1,41.2,25.78,73.63,866.01,6.99
SH601598,中国外运,90,90,90,90,11.9,10.23,13.11,8.45
SZ000010,美丽生态,18.5,9,5.1,20,116.3,525.32,5312.56,30.76
SH600707,彩虹股份,1,1,1,1,16.77,2335.54,119207,6.73
SZ000928,中钢国际,1,0.7,0.5,0.3,9.47,328.41,3471.78,9.33
SH600683,京投发展,86.1,81.1,78,44.5,31.96,81.58,565.12,6.38
SZ002178,延华智能,74.1,66.7,69,69.8,98.15,109.05,692.24,19.63
SZ000633,合金投资,53.4,62.6,45,62.7,130.45,915.51,39696.1,18.56
SZ000732,泰禾集团,1,1,1,1,3.98,48.79,314,3.39
SZ300397,天和防务,17,13.1,11.7,11.7,84.55,247.03,848.2,60.62
SH600995,文山电力,90.5,60.6,46.4,35.1,18.28,26.78,69.76,9.39
SH603626,科森科技,1,1,1,1,184.49,40.49,188.59,14.21
SH600499,科达制造,100,100,100,100,346.29,40.73,346.29,11.7
SH600551,时代出版,82,62.3,53.6,38.6,21.72,71.91,671.58,10.45
SZ002170,芭田股份,16.8,50.5,73.4,76.7,89.11,71.36,314.78,11.19
SH600689,上海三毛,1,1,1,1,113.47,113.7,1357.51,7.38
